WikidataID,itemLabel,sitelinks
Q573246,Anthony Fauci,59.0
Q7815868,Tom Frieden,6.0
Q28025108,Maria Van Kerkhove,17.0
Q22686,Donald Trump,282.0
Q2522410,Victor Dzau,5.0
Q28595120,Diane Gashumba,6.0
Q441076,Veronika Skvortsova,17.0
Q6932386,Muhammad Ali Pate,4.0
Q63302442,John R. Mascola,1.0
Q4932461,Bob Franken,1.0
Q2356503,Michael Specter,5.0
Q7349114,Robert R. Redfield,11.0
Q6832389,Michael M. Gottesman,2.0
Q88978852,Nancy E. Messonnier,3.0
Q4768787,Anne Schuchat,4.0
Q31213302,Jerome Adams,13.0
Q105103846,Jill R. Harper,1.0
Q6137050,James K. Gilman,2.0
Q105099466,Tara N. Palmore,1.0
Q28530101,Norris Cochran,4.0
Q7609399,Stephen M. Hahn,5.0
Q89108863,Barney S. Graham,5.0
Q4977719,Bruce J. Tromberg,2.0
Q6832696,J. Michael McGinnis,2.0
Q24239052,Deborah L. Birx,21.0
Q87729570,Ramnik J Xavier,0.0
Q9196554,Li Lanjuan,10.0
Q37375884,Vincent J. Munster,1.0
Q56425959,Roger I. Glass,2.0
Q88101315,Joe Grogan,2.0
Q3018737,David Rubenstein,11.0
Q75682803,Eva K. Lee,1.0
Q106813255,Charity Dean,1.0
Q16727586,Luciana Borio,4.0
Q160157,Joe Lieberman,40.0
Q66732898,Peter Daszak,9.0
Q65,Los Angeles,257.0
Q4120165,Perelman School of Medicine at the University of Pennsylvania,8.0
Q1329269,The Wharton School,30.0
Q48340,CNN,101.0
Q3519875,National Institute of Allergy and Infectious Diseases,21.0
Q186068,Fox News,62.0
Q939416,The Lancet,47.0
Q66096,United States Senate,94.0
Q9684,The New York Times,109.0
Q13973,MSNBC,36.0
Q1342,Pittsburgh,136.0
Q861764,CBS News,23.0
Q6956114,NYU Langone Medical Center,2.0
Q663596,Gilead Sciences,26.0
Q6954312,NIH Intramural Research Program,1.0
Q11746,Wuhan,172.0
Q1345,Philadelphia,183.0
Q49112,Yale University,100.0
Q100,Boston,195.0
Q5092,Baltimore,142.0
Q6973757,National Institutes of Health Clinical Center,2.0
Q49,North America,297.0
Q164746,The Wall Street Journal,76.0
Q4915100,Biomedical Advanced Research and Development Authority,9.0
Q8686,Shanghai,224.0
Q48,Asia,359.0
Q46,Europe,374.0
Q13977,Bloomberg L.P.,43.0
Q3130,Sydney,235.0
Q49115,Cornell University,84.0
Q204711,Food and Drug Administration,51.0
Q584451,Bethesda,45.0
Q82069695,SARS-CoV-2,123.0
Q16837497,Foundation for the National Institutes of Health,1.0
Q23556,Atlanta,182.0
Q270794,National Academy of Sciences,48.0
Q238101,University of Minnesota,53.0
Q16967,Zhejiang,114.0
Q5083,Seattle,165.0
Q159260,Santa Clara,68.0
Q15175,Guangdong,118.0
Q824451,Boston Globe,32.0
Q668,India,368.0
Q6279,Joe Biden,229.0
Q13371,Harvard University,128.0
Q90083933,Global Preparedness Monitoring Board,0.0
Q8646,Hong Kong,275.0
Q5059684,Center for Information Technology,1.0
Q390551,National Institutes of Health,39.0
Q20927,Daegu,97.0
Q30281928,Korea Center for Disease Control and Prevention,0.0
Q300033,ATPase,29.0
Q1472663,University of Alabama at Birmingham,12.0
Q2915369,Hudson Institute,14.0
Q43194,Yunnan,119.0
Q984155,Folsom,42.0
Q79435,Lake Havasu City,50.0
Q58696,Mohave County,53.0
Q36091,Minneapolis,133.0
Q671510,NPR,38.0
Q58684,Coconino County,53.0
Q79820,Yuma,65.0
Q37836,Milwaukee,129.0
Q16552,San Diego,151.0
Q49233,Orlando,119.0
Q7621808,Strategic National Stockpile,3.0
Q176480,Dougherty County,42.0
Q18013,Sacramento,156.0
Q203263,Athens,66.0
Q43788,Madison,115.0
Q6375399,Kate Brown,22.0
Q16554,Denver,166.0
Q16997846,Mimecast,3.0
Q44989,Tulsa,99.0
Q30268687,National Association of Community Health Centers,0.0
Q1156,Mumbai,211.0
Q1361,Hyderabad,125.0
Q23768,Las Vegas,170.0
Q17039493,Leprino Foods,1.0
Q199797,Tacoma,86.0
Q279890,Germantown,15.0
Q1036056,Cargill,31.0
Q7020906,Nexstar Media Group,1.0
Q507047,Natchitoches Parish,43.0
Q487315,Monterey,62.0
Q1326975,University of Wyoming,24.0
Q159288,Santa Barbara,86.0
Q1916118,Medi-Cal,2.0
Q43301,Fresno,107.0
Q185257,Mormon Lake,8.0
Q14956815,Novant Health,1.0
Q574192,Greenville,51.0
Q156376,Vimeo,45.0
Q988279,East Wenatchee,37.0
Q624686,"California State University, Monterey Bay",5.0
Q49256,Bakersfield,88.0
Q745120,St. Joseph,51.0
Q28037202,Brenda Eskenazi,0.0
Q60161886,Mark T Scimone,0.0
Q30068183,T. Don Hutto,1.0
Q461391,Gavin Newsom,41.0
Q77312828,Michelle Fink,0.0
Q16556,Phoenix,163.0
Q184478,University of California,62.0
Q16635,Guam,170.0
Q18575,Tucson,109.0
Q27809653,presidency of Donald Trump,18.0
Q1183,Puerto Rico,201.0
Q975,San Antonio,140.0
Q16565,Charlotte,118.0
Q105063174,Cradlepoint,1.0
Q487999,Gainesville,66.0
Q12439,Detroit,161.0
Q87767345,White House Coronavirus Task Force,13.0
Q285599,Albany,56.0
Q11231,United States Department of Homeland Security,43.0
Q4709390,Albany State University,4.0
Q41087,Raleigh,120.0
Q169943,San Mateo,52.0
Q108117,Marin County,78.0
Q1223,Washington,206.0
Q1428,Georgia,216.0
Q583725,Centers for Disease Control and Prevention,44.0
Q41057,Topeka,118.0
Q491748,Deloitte,46.0
Q188515,Los Angeles Times,57.0
Q99,California,260.0
Q25110689,International Society for Infectious Diseases,1.0
Q812,Florida,235.0
Q61,"Washington, D.C.",274.0
Q506921,St. Tammany Parish,43.0
Q484678,Berkeley,88.0
Q2331865,Coachella Valley,19.0
Q913543,Watsonville,43.0
Q168756,"University of California, Berkeley",83.0
Q108106,Santa Barbara County,63.0
