WikidataID,itemLabel
Q23505,George H.W.Bush
Q23505,George Herbert Bush
Q23505,George Herbert Walker Bush
Q23505,George W. Bush Senior
Q23505,GHW Bush
Q23505,GHWB
Q23505,H W Bush
Q23505,H. W. Bush
Q23505,H.W. Bush
Q23505,Herbert Walker Bush
Q23505,President George H. W. Bush
Q23505,President George H.W. Bush
Q23505,Vice President Bush
Q14295,SEA Airport
Q14295,Sea-Tac
Q14295,Sea-Tac Airport
Q14295,Sea–Tac
Q14295,Sea–Tac Airport
Q14295,SeaTac
Q14295,Seattle Tacoma International Airport
Q14295,Seattle-Tacoma International Airport
Q23505,George Bush
Q23505,President Bush
Q23505,George H.W. Bush
Q23505,Bush 41
Q23505,Bush I
Q23505,Bush Senior
Q23505,Bush Sr.
Q23505,G H W Bush
Q23505,G. H. W. Bush
Q23505,G.H.W. Bush
Q23505,George Bush Senior
Q23505,George Bush Snr.
Q23505,George Bush Sr
Q23505,George Bush Sr.
Q23505,"George Bush, Sr."
Q23505,George H Bush
Q23505,George H W
Q23505,George H W Bush
Q23505,George H. Bush
Q23505,George H. W
Q23505,George H. W.
Q23505,George H.W.
Q11696,POTUS
Q11696,President of America
Q11696,President of the U.S.
Q11696,President of the US
Q11696,President of the USA
Q11696,president of United States
Q11696,President of USA
Q11696,the president of the United States
Q11696,United States President
Q11696,US President
Q11699,President of the Senate
Q11699,VPOTUS
Q11699,President of the United States Senate
Q11699,US Vice President
Q14295,KSEA
Q14295,SEA
Q26446,"Whitefish, Montana"
Q31112,"William Harrison ""Bill"" Frist, Sr."
Q31112,William Harrison Frist
Q43355,Nature Reviews. Immunology
Q65379,Virginia Polytechnic Institute and State University
Q65379,VPISU
Q65379,vt.edu
Q92759,Lawrence Ellison
Q92759,Lawrence J. Ellison
Q92759,"Lawrence Joseph ""Larry"" Ellison"
Q92759,Lawrence Joseph Ellison
Q607,Michael R. Bloomberg
Q607,Michael Rubens Bloomberg
Q607,Mike Bloomberg
Q11668,Nimrata Haley
Q11668,Nimrata Nikki Randhawa Haley
Q11668,Nimrata Randhawa
Q11668,Nimrata Randhawa Haley
Q11696,Mr. President
Q11696,President of the United States of America
Q47216,"Condoleezza ""Condi"" Rice"
Q47216,Condoleezza Condi Rice
Q49117,Penn
Q49117,Pennsylvania University
Q49117,Univ. of Penn.
Q49117,UPenn
Q49117,upenn.edu
Q49210,NYU
Q49210,University of New York
Q49210,University of the City of New York
Q44306,Joseph Anton
Q44306,Rushdie
Q44306,Sir Ahmed Salman Rushdie
Q47216,Condi Rice
Q131252,U of C
Q131252,Chicago University
Q131252,UChicago
Q131252,uchicago.edu
Q151231,Ann Griselda Lennox
Q151231,Ann Lennox
Q151796,Tzipora Livni
Q193439,DXB
Q193439,OMDB
Q193727,Johns Hopkins
Q193727,Hopkins
Q193727,JHU
Q193727,jhu.edu
Q193727,The Johns Hopkins University
Q194316,BKK
Q194316,VTBS
Q49212,A&M
Q49212,Agricultural and Mechanical College of Texas
Q49212,TAMU
Q49212,tamu.edu
Q49212,Texas A & M University
Q49212,Texas A and M
Q49212,Texas A&M
Q49212,Texas Agricultural and Mechanical University
Q57311,Juan Manuel Santos Calderón
Q58691,"Maricopa County, Arizona"
Q63879,Christopher Christie
Q63879,Christopher J. Christie
Q63879,"Christopher James ""Chris"" Christie"
Q63879,Christopher James Christie
Q63879,Gov. Chris Christie
Q65379,VPI
Q65379,VT
Q183058,Alan M. Dershowitz
Q183058,Alan Morton Dershowitz
Q189022,Imperial College of Science and Technology
Q189022,Imperial College
Q189022,"Imperial College of Science, Technology and Medicine"
Q194419,Richard Charles Nicholas Branson
Q194419,Sir Richard Branson
Q194419,Sir Richard Charles Nicholas Branson
Q195668,QM
Q195668,QMC
Q195668,Queen Mary College
Q195668,Westfield College
Q195668,QMUL
Q195668,Queen Mary and Westfield College
Q214861,ATL
Q214861,KATL
Q214861,Atlanta Airport
Q214861,Hartsfield Jackson
Q214861,Hartsfield-Jackson
Q160157,Joseph I. Lieberman
Q160157,"Joseph Isadore ""Joe"" Lieberman"
Q160157,Joseph Isadore Lieberman
Q160157,Joseph Lieberman
Q168592,Jaime Lynn Herrera Beutler
Q170581,Nancy D'Alesandro Pelosi
Q170581,Nancy Patricia D'Alesandro
Q170581,Nancy Patricia D'Alesandro Pelosi
Q170581,Nancy Patricia Pelosi
Q235034,Pitt
Q235034,Western University of Pennsylvania
Q235034,pitt.edu
Q235034,Pittsburgh Academy
Q235650,Maria Joao Pires
Q237560,Barbara Levy Boxer
Q237560,Barbara Sue Levy Boxer
Q174764,RGN
Q174764,VYYY
Q180589,Boris
Q180589,Alexander Boris de Pfeffel Johnson
Q180589,Bo Jo
Q180589,BoJo
Q319099,Michael S. Dukakis
Q319099,Michael Stanley Dukakis
Q319099,Mike Dukakis
Q319189,Jeffrey D. Sachs
Q319189,Jeffrey David Sachs
Q327022,"Chinatown, Rockville"
Q327022,"Rockville, Maryland"
Q327022,"Rockville, MD"
Q351330,"Mitchell Elias ""Mitch"" Daniels, Jr."
Q380441,I. Lewis Libby
Q380441,I. Lewis Libby Jr.
Q380441,Irv Lewis Libby
Q380441,Irv Lewis Libby Jr.
Q380441,Irv Libby
Q380441,Irv Libby Jr.
Q380441,"Irve Lewis ""Scooter"" Libby Jr."
Q380441,Irve Lewis Libby
Q380441,Irve Lewis Libby Jr.
Q380441,Irve Libby
Q380441,Irve Libby Jr.
Q380441,Irving Lewis Libby
Q380441,Irving Lewis Libby Jr.
Q380441,Irving Libby
Q380441,Irving Libby Jr.
Q380441,Lewis Libby
Q380441,Lewis Libby Jr.
Q429863,FAU
Q429863,Florida Atlantic
Q434804,"Richard Joseph ""Dick"" Durbin"
Q434804,Richard Joseph Durbin
Q443640,"Thomas Andrew ""Tom"" Daschle"
Q443640,Thomas Andrew Daschle
Q460652,Nita Sue Melnikoff Lowey
Q461391,Gavin Christopher Newsom
Q461679,Yvette Diane Clarke
Q465597,Gretchen Elizabeth Carlson
Q465663,Ursula M. Burns
Q466809,ASM
Q466809,Society of American Bacteriologists
Q468807,Norvell Kay Granger
Q469115,Lucille Elsa Roybal-Allard
Q472675,"Frederick, Maryland"
Q472675,"Frederick, MD"
Q474153,The Economist Group
Q474153,The Economist Newspaper Limited
Q482493,GMP
Q482493,RKSS
Q237560,Barbara Levy
Q258662,Oliver Wolf Sacks
Q266611,Ann Hart Coulter
Q269927,David Alan Mamet
Q269927,David Alen Mamet
Q292569,Donna Edna Shalala
Q629973,Coach Cal
Q629973,John Vincent Calipari
Q643562,AUH
Q643562,Abu Dhabi Airport
Q643562,Abu Dhabi International
Q643562,OMAA
Q679041,RKI
Q679041,Robert Koch Institut
Q679041,Robert Koch-Institut
Q679041,Robert-Koch-Institut
Q688592,GAVI Alliance
Q688592,"Gavi, the Vaccine Alliance"
Q688592,Global Alliance for Vaccines and Immunisation
Q511243,CNCS
Q511243,Corporation for National and Community Service
Q525486,Macao International Airport
Q525486,MFM
Q525486,VMMC
Q557730,Sean Patrick Hannity
Q561284,Cedric Levan Richmond
Q601091,WUH
Q601091,ZHHH
Q623452,ALG
Q623452,Algiers Airport
Q623452,Algiers International Airport
Q623452,Algiers-Houari Boumediene Airport
Q623452,DAAG
Q623452,Maison Blanche Airport
Q743162,Tucker Swanson McNear Carlson
Q795454,Barnes and Noble
Q821750,FAOR
Q821750,JNB
Q821750,Johannesburg Airport
Q821750,Johannesburg International Airport
Q821750,O.R. Tambo International Airport
Q484605,Christine Madeleine Odette Lagarde
Q484605,Christine Madeleine Odette Lallouette
Q487556,Sydney Uni
Q487556,Sydney University
Q487556,The University of Sydney
Q487556,USyd
Q868421,UCI
Q868421,Irvine
Q868421,UC Irvine
Q868421,uci.edu
Q868421,University of California Irvine
Q906562,S. Schreiber
Q906562,Schreiber SL
Q1591889,Walgreen
Q1591889,Walgreen Company
Q1655924,George Robert Stephanopoulos
Q2036942,"Rafael Edward ""Ted"" Cruz"
Q2036942,Rafael Edward Cruz
Q2036942,Sen. Ted Cruz
Q3052772,Emmanuel Jean-Michel Frédéric Macron
Q3052772,Macron
Q1176577,David Raymond Sedaris
Q1198791,DOH
Q1198791,NDIA
Q1198791,New Doha International Airport
Q1198791,OTHH
Q1269048,Donna Lease Brazile
Q1287852,Louis Carl Dobbs
Q1289889,James Clyburn
Q1289889,James Enos Clyburn
Q1340268,John Raymond Garamendi
Q1397359,Gregory Paul Walden
Q1424562,Francis Chisari
Q1424562,Frank Chisari
Q1512226,HHMI
Q1512226,hhmi.org
Q1562058,Maureen Brigid Dowd
Q1591889,The Walgreen Company
Q906562,Stuart L Schreiber
Q906562,Stuart L. Schreiber
Q906562,"Stuart Schreiber, PhD"
Q985175,"Alachua, Florida"
Q1172506,GDPR
Q1172506,Regulation (EU) 2016/679 of the European Parliament and of the Council
Q5100405,CCDC
Q5100405,China CDC
Q5333114,Wildlife Trust
Q5476534,Fox and Friends
Q5606534,Gregg S Gonsalves
Q5606534,Gregg S. Gonsalves
Q5606534,G Gonsalves
Q5606534,G. Gonsalves
Q5606534,"Gonsalves, G."
Q5611155,Group Health Research Institute
Q5611155,KPWHRI
Q6768777,Mark B. McClellan
Q6768777,Mark Barr McClellan
Q7173106,Mayor Pete
Q7173106,Peter Buttigieg
Q7173106,Peter Paul Montgomery Buttigieg
Q3336879,NFL Players Association
Q3359737,Plos Negl. Trop. Dis.
Q3359737,Plos Neglect. Trop. Dis.
Q3359737,PLoS Neglected Tropical Diseases
Q3359737,PLOS NTDs
Q3437091,Robin L. Kelly
Q3437091,Robin Lynne Kelly
Q3466996,Eric Michael Swalwell
Q3466996,"Eric Michael Swalwell, Jr."
Q3606816,Ardern
Q3606816,Jacinda Kate Laurell Ardern
Q3811106,Julie L. Gerberding
Q3811106,Julie Louise Gerberding
Q4051141,J Infect Dis
Q4051141,Journal of Infectious Diseases
Q4743356,Chemical Manufacturers' Association
Q4743356,Manufacturing Chemists' Association
Q4744423,AMSA
Q4960712,Brenda L. Lawrence
Q4960712,Brenda Lulenar Lawrence
Q7595813,Selena Montgomery
Q7595813,Stacey Y. Abrams
Q7595813,Stacey Yvonne Abrams
Q7887528,Blood Systems
Q7887528,United Blood Services
Q7895888,UNMC
Q8017185,William R. Brody
Q10853588,Kamala D. Harris
Q10853588,Kamala Devi Harris
Q10853588,Momala
Q13562359,Ayanna Soyini Pressley
Q15724248,Lancet Infectious Diseases
Q15724248,The lancet. Infectious diseases
Q15944807,Institute of Zoology
Q15944807,IOZ
Q15944807,IOZCAS
Q16192221,Benjamin Eric Sasse
Q16192221,Benjamin Sasse
Q16192221,Benjamin E. Sasse
Q16654806,camel flu
Q16654806,MERS
Q16654806,Middle Eastern Respiratory Syndrome
Q18631823,Ashley R. Parker
Q18631823,Ashley Rebecca Parker
Q18684027,Amata Catherine Coleman Radewagen
Q18684027,Aumua Amata
Q18684027,Aumua Amata Coleman Radewagen
Q18684027,Amata Radewagen
Q20657082,Jonathan David LaPook
Q23950132,Donnelly
Q23950132,C A Donnelly
Q23950132,C Donnelly
Q23950132,C. A. Donnelly
Q23950132,C. Donnelly
Q23950132,Christi A Donnelly
Q23950132,Christl A Donnelly
Q23950132,Christl A. Donnelly
Q23950132,Christl Donnelly
Q23950132,Donnelly C
Q23950132,Donnelly C.
Q23950132,Donnelly C. A.
Q23950132,Donnelly CA
Q27133033,CEPI
Q27133033,Cepi
Q30255710,CNCBD
Q30355862,Eric M. Ueland
Q43176170,Shi Z
Q43176170,Shi Z L
Q43176170,Shi Zheng-Li
Q43176170,Zhengli Shi
