WikidataID,itemLabel
Q92363903,Lisa Koonin
Q63881333,"Baric, Ralph"
Q63881333,Ralph Steven Baric
Q63881333,Ralph Baric
Q63881333,Ralph S. Baric
Q63881333,Baric RS
Q63881333,Baric Ralph
Q63881333,R. S. Baric
Q63881333,"Baric, R.S."
Q63881333,Dr. Ralph Baric
Q63881333,"Baric, Raiph"
Q63881333,"Baric, Ralpt"
Q16727586,"Borio, Luciana"
Q16727586,"Borio, Lucian"
Q16727586,"Borio, LucianalL"
Q16727586,Borio'Ludana
Q16727586,"Borio, Ludana"
Q16727586,"Borio, Luciang"
Q16727586,"Borio, Lucianall"
Q16727586,"Borio,Ludana"
Q16727586,Lucianall Borio
Q16727586,"Borio, Luclana"
Q16727586,"Borio, Lucians"
Q35351223,"Kadlec, Robert"
Q28062402,Tom Bossert
Q30292611,Wuhan Institute
Q30292611,Wuhan Insitute
Q30292611,WUHAN INSTITUTE
Q30292611,Wuhan Virology
Q30292611,Wuhan Institue
Q30292611,Wuhan Institut
Q89657492,"Marcozzi, David"
Q31213302,"Adams, Jerome"
Q31213302,Adams Jerome
Q106813255,"Dean, Charity"
Q23768,City of Las Vegas
Q7285957,"Venkayya, Rajeev"
Q7285957,"Venkayya, Raieev"
Q7285957,"Venkayya, Raieey"
Q7285957,"Venkayya, Rajeey"
Q7285957,"VenkayVa, Rajeev"
Q7285957,"Verkayya, Rajeev"
Q7285957,"Venkavya, Rajeev"
Q7285957,"Venkayva, Rajeev"
Q94274,"Greeley, CO"
Q94274,"Greeley, Colorado"
Q94274,City of Greeley
Q94274,Greeley CO
Q46862,Hubei Province
Q116973025,"Hepburn, Matthew"
Q17510567,CDPHE
Q16260071,George Gao
Q90151214,"Madad, Syra"
Q513807,Peggy Hamburg
Q89087576,"Schountz,Tony"
Q2522410,"Dzau, Victor J."
Q2522410,"Dzau, Victor"
Q2522410,"Dzau, Victor J"
Q38458710,"Ciottone, Gregory"
Q38458710,"Ciottone,Gregory"
Q38458710,Ciottone Greg
Q38458710,Ciottone Gregory
Q33925937,"Kading,Rebekah"
Q38458710,"Ciottone,Gregory"
Q7609399,"Hahn, Stephen"
Q7349114,"Redfield, Robert R."
Q97651173,"Damon, Inger K."
Q97651173,"Damon, Inger"
Q97651173,Inger Damon
Q90553203,"Schmaljohn, Connie"
Q87945055,Yuan Zhiming
Q92487592,"Schildecker, Sarah"
Q88224175,"Hewitt, Judith"
Q4795006,"Hensley, Lisa"
Q42129765,"Marston, Hilary"
Q37375884,"Munster, Vincent"
Q37375884,Vincent Munster
Q37375884,"Munster, Vincent J"
Q37375884,V. J. Munster
Q33977478,Mayor Cantrell
Q33977478,Mayor LaToya Cantrell
Q33977478,MAYOR CANTRELL
Q33977478,Mayor Latoya Cantrell
Q21388715,"Kingston, Tigga"
Q55455561,Kevin Olival
Q55455561,Dr. Kevin Olival
Q55455561,"Kevin Olival, PhD"
Q55455561,Olival KJ
Q55455561,"Olival,K.J."
Q55455561,K. J. Olival
Q100633421,"Tseng, Chien-Te K."
Q492819,"Broomfield, CO"
Q29963497,"Vought, Russell"
Q29963497,Russ Vought
Q921264,UTMB
Q89108863,"Graham, Barney"
Q99478042,"Troye, Olivia"
Q26695608,"Ksiazek, Thomas G."
Q26695608,"Ksiazek, Thomas"
Q26695608,Tom Ksiazek
Q26695608,Thomas Ksiazek
Q26695608,Ksiazek TG
Q26695608,Ton Ksiazek
Q22686,President Donald Trump
Q22686,President Trump
Q22686,President Donald J. Trump
