WikidataID,itemLabel,en_description
Q573246,Anthony Fauci,American immunologist known for his involvement in the AIDS Crisis as head of the U.S. National Institute of Allergy and Infectious Diseases
Q15967402,Jeremy Farrar,epidemiologist and director of the Wellcome Trust
Q3519875,National Institute of Allergy and Infectious Diseases,US research institute for the treatment and prevention of infectious diseases
Q107324729,Richard Hatchett,Richard Hatchett is an American epidemiologist and CEO of Coalition for Epidemic Preparedness Innovations.
Q5919068,Howard Bauchner,"Howard C. Bauchner, vice chairman of pediatrics at the Boston University School of Medicine, was the editor-in-chief of the Journal of the American Medical Association (JAMA) from July 1, 2011 until June 30, 2021"
Q92363903,Lisa M. Koonin,Lisa M. Koonin is an American public health official and medical researcher associated with the development of social distancing as a strategy to prevent the spread of viral diseases.
Q4865631,Barton Haynes,"Barton Ford Haynes is an American physician and immunologist internationally recognized for work in T-cell immunology, retrovirology and HIV vaccine development."
Q336658,Francis Collins,American geneticist and director of the National Institutes of Health
Q22686,Donald Trump,45th president of the United States
Q89657492,David Marcozzi,researcher
Q584451,Bethesda,"unincorporated community in Montgomery County, Maryland, United States"
Q46862,Hubei,province of China
Q582728,The New England Journal of Medicine,peer-reviewed medical journal
Q463877,Melinda Gates,American businesswoman and philanthropist
Q59685335,Lawrence Tabak,American scientist and dentist
Q89378682,Joseph P Menetski,researcher
Q2522410,Victor Dzau,American academic
Q7176052,Peter Navarro,American economist
Q30292611,Wuhan Institute of Virology,"facility in Wuhan, China"
Q88964436,Emily Erbelding,American physician and scientist
Q4962188,Brett Giroir,American pediatrician and Assistant Secretary for Health
Q40133323,Peter H. Kilmarx,researcher
Q24239052,Deborah L. Birx,American physician and diplomat
Q29643725,Patrick Vallance,Chief Scientific Adviser to the UK Government
Q66732898,Peter Daszak ,"zoologist, disease ecologist"
Q87914789,Bruce Aylward,"Canadian physician, epidemiologist, Senior Advisor to the Director-General, WHO"
Q5423140,Ezekiel Emanuel,American physician
Q49971,Ginni Rometty,American business executive
Q61994020,Enrica Battifoglia,Italian scientific journalist
Q295691,Harold E. Varmus,American scientist
Q7030302,Nicolle Wallace,"American political commentator, author, and current anchor of Deadline: White House"
Q99478042,Olivia Troye,American lawyer and security expert
Q47008951,Mark Schoofs,American journalist
Q35351223,Robert P. Kadlec,American physician and government official
Q89108863,Barney S. Graham,"immunologist, virologist, and clinical trials physician in viral pathogenesis, immunity, and vaccine development"
Q910448,Bret Baier,"American journalist, host of ""Special Report with Bret Baier"" on Fox News Channel"
Q16260071,George F. Gao,Chinese virologist and immunologist
Q75682803,Eva K. Lee,Eva K Lee is an American applied mathematician and operations researcher who applies combinatorial optimization and systems biology to the study of health care decision making and organizational transformation.
No Wiki,Jason Gale,No Wikidata ID
Q510034,Sanjay Gupta,"journalist, medical correspondent, neurosurgeon"
Q7349114,Robert R. Redfield,American medical researcher
HL100001,Patricia L. Conrad,No Wikidata ID
Q42129765,Hilary D. Marston,American physician-scientist and policy advisor
Q40133290,Angela C Dunn,researcher
Q28320577,Andrew Rambaut,"Professor of Molecular Evolution, University of Edinburgh"
Q12014326,Sylvia Burwell,former United States Secretary of Health and Human Services
Q3063122,Pardis C. Sabeti,"Iranian-American biologist, Harvard University"
Q21594962,Alison P. Galvani,US epidemiologist
Q104889905,Hugh Auchincloss,American immunologist
Q95619090,Nathaniel Hupert ,researcher
Q20687401,Janet Tobias,"media executive specializing in healthcare as well as an Emmy Award-winning director, producer, and writer"
Q513807,Margaret Hamburg,American physician and medical/public health administrator
Q41799599,Joyce Boghsian,American photographer
Q107156859,Felicity Harvey,"Director General for Public and International Health, Department of Health"
Q942326,United States Department of Health and Human Services,department of the US federal government
Q87767345,the White House Coronavirus Task Force,United States Department of State task force to mitigate COVID-19
Q316997,Anderson Cooper,"American journalist, television presenter and author"
Q24313,Mike Pence,48th Vice President of the United States
Q88978852,Nancy E. Messonnier,American medical epidemiologist at the CDC
Q30212412,Julia Belluz,Canadian health journalist
Q7329560,Richard Tubb,United States general and Physician to the President
Q95149245,Sharon Hillier,American microbiologist
Q63881333,Ralph S. Baric,American researcher and epidemiologist
Q97458797,Mikael Dolsten,swedish-American doctor
Q42353716,Susan R. Weiss,American microbiologist
Q13628723,Jared Kushner,"American investor, real-estate developer, newspaper publisher, and senior advisor to President Donald Trump"
Q31213302,Jerome Adams,Surgeon General of the United States
Q5284,Bill Gates,American business magnate and philanthropist
Q1297741,Michael Rosbash,American geneticist and chronobiologist
Q87729570,Ramnik J Xavier,researcher
Q19958193,Akiko Iwasaki,immunobiologist
Q7789077,Thomas Dudley Cabot,American businessman and philanthropist
Q9196554,Li Lanjuan,Chinese epidemiologist
Q76,Barack Obama,44th president of the United States
Q207,George W. Bush,43rd president of the United States
Q36215,Mark Zuckerberg,American internet entrepreneur
Q5362573,Elizabeth Cheney,"American lawyer and politician, incumbent U.S. Representative from Wyoming's at-large congressional district"
Q342604,Idris Elba,"English actor, producer and musician"
Q35332,Brad Pitt,American actor and filmmaker
Q16196017,Tedros Adhanom Ghebreyesus,"Ethiopian microbiologist, malaria researcher, and politician, Director-General of the World Health Organization"
Q28322531,Marc Lipsitch,epidemiologist in the United States
Q15031,Xi Jinping,General Secretary of the Chinese Communist Party and paramount leader of China
Q22096751,Gregory A. Poland,American physician and vaccinologist
Q1079331,Christian Drosten,German virologist and university teacher
Q28152069,Edward C. Holmes,Professor of Biology and Medicine at the University of Sydney
Q46090938,Marion Koopmans,Dutch university teacher
Q82069695,SARS-CoV-2,strain of virus causing the ongoing pandemic of coronavirus disease 2019 (COVID-19)
Q17081612,Moderna,American biotechnology company
Q158205,Sanofi,French pharmaceutical company
Q206921,Pfizer,American multinational pharmaceutical corporation
Q209330,Instagram,online photo-sharing and social networking service owned by Facebook
Q355,Facebook,Facebook is an online social media and social networking service.
Q110739,Santa Clara County,"county in California, United States"
Q3567094,Weill Cornell Medicine,biomedical research unit and medical school of Cornell University in New York City
Q3497425,Travis Air Force Base,"US Air Force base near Fairfield, California, United States"
Q17269,Tibet,autonomous region of China
Q291090,China Southern Airlines,Chinese airline
Q17704,Hong Kong International Airport,main airport in Hong Kong
Q20932,Incheon International Airport,international airport in South Korea
Q793867,Scripps Research,nonprofit American medical research facility that focuses on research and education in the biomedical sciences
Q7152812,Paul A. Offit,American immunologist
Q20807130,Arturo Casadevall,Cuban-American scientist
Q17070599,National Association of County and City Health Officials,organization
Q17510567,Colorado Department of Public Health and Environment,government agency
Q143451,University of Central Florida,"public university in Orlando, Florida, United States"
Q7101214,Oregon Health Authority,"state government agency of Oregon, U.S"
Q5243604,Daytona Beach Police Department,Law enforcement agency
Q4849288,Bakersfield College,"College in Bakersfield, California"
Q96379391,Georgia Department of Public Health,"Public health agency of Georgia, U.S."
Q11231,U.S. Department of Homeland Security,cabinet department of the United States federal government
Q17039493,Leprino Foods,"American company with headquarters in Denver, Colorado that produces cheese, lactose, whey protein and sweet whey"
Q494210,National Governors Association,"organization consisting of the governors of the states, territories and commonwealths of the United States"
Q94274,Greeley,city in Colorado
Q79842,Flagstaff,"city in and county seat of Coconino County, Arizona, United States"
Q1380694,Oneida ,"city in New York, USA"
Q958596,Wenatchee,"city in Chelan County, Washington"
Q7774235,The Wenatchee World,"newspaper in Wenatchee, Washington"
Q988279,East Wenatchee,"city in Douglas County, Washington, United States"
Q7982289,Wenatchee Valley College,"Community college in Wenatchee, Washington, U.S."
Q1922555,Hermiston,"city in Oregon, USA"
Q69488380,Hermiston Public Library,"public library system in Oregon, USA"
Q79733,Kingman,"city in Arizona, USA"
Q1363104,Canandaigua,"city in Ontario County, New York, United States"
Q969349,Hutto,"city in Williamson County, Texas, United States"
Q285599,"Albany, Georgia","county seat of Dougherty County, Georgia, United States"
Q4709310,Albany Democrat-Herald,"newspaper in Albany, Oregon"
Q7712999,The Albany Herald,"Newspaper published in Albany, Georgia"
Q7716437,The Bellingham Herald,"newspaper in Bellingham, Washington"
Q26877,The Everett Herald,"newspaper based in Everett, Washington"
Q55665525,Fontana Herald News,newspaper published in Fontana
Q28403614,Skagit Valley Herald,"newspaper in Mount Vernon, Washington"
Q989941,Fort Morgan,"city in Colorado, United States"
Q4964973,Brian Kemp,"American politician, Governor of Georgia"
Q4791298,Arizona Department of Health Services,Government agency
Q17004374,Wisconsin Department of Health Services,government agency in the US state of Wisconsin
Q7101198,Oregon Employment Department,government agency in Oregon
Q6970647,National Association of Counties,US American association
Q5020439,California Department of Public Health,public health department
Q94184165,Paycheck Protection Program,US government loan program
Q18394533,Washington State Department of Health,"Washington state agency, headquartered in Olympia, Washington"
Q5461315,Florida Department of Health,state health agency of Florida
Q87904721,Families First Coronavirus Response Act,bill of United States Congress
Q5251411,Defense Production Act,United States federal law
Q103204,Flickr,image and video hosting website
Q7895970,University of North Georgia,"public university in Georgia, United States"
Q7101169,Oregon Department of Education,"state government organization in Salem, Oregon"
Q50039315,Oregon Law Center,"nonprofit organization in Portland, United States"
Q20709478,Ohio Department of Health,state health agency of Ohio
Q7014077,New York State Department of Health,state department for Health Services
Q6837527,Michigan Department of Health and Human Services,department of the state of Michigan
Q69469971,Mohave County Library District,"public library system in Arizona, USA"
Q7082349,Oklahoma State Department of Health,state health agency of Oklahoma
Q5034267,Canyonville Christian Academy,"private Christian boarding school in Canyonville, Oregon"
Q30259029,Washington Department of Fish and Wildlife,"government organization in Olympia, United States"
Q221718,The Seattle Times,newspaper
Q230492,University of Michigan,"public research university in Ann Arbor, Michigan, United States"
Q7611394,Sterling Correctional Facility,largest prison in the Colorado Department of Corrections system
Q5039253,Cargill Meat Solutions,North American meat-processing subsidiary of Cargill
Q16937673,California Occupational Safety and Health Administration,organization
Q5148911,Colorado School of Public Health,collaborative school of public health representing three Colorado public educational and research institutions
Q7101276,Oregon Occupational Safety and Health Division,government agency in Oregon
Q16949210,Louisiana Department of Education,government agency in Louisiana
Q592576,United States Department of Veterans Affairs,department of the United States government
Q30259020,Oregon Watershed Enhancement Board,"State agency promoting watershed healthgovernment organization in Salem, United States"
Q60346,National Institute for Occupational Safety and Health,United States government agency for preventing work-related health and safety problems
Q50037251,Maricopa County Department of Public Health,"government organization in Phoenix, United States"
Q7101163,Oregon Department of Agriculture,government agency in Oregon
Q460173,United States Environmental Protection Agency,independent executive agency of the United States federal government
Q6433179,Navajo Nation Council,legislative branch of the Navajo Nation government
Q852211,United States Department of Transportation,federal agency
Q7082348,Oklahoma State Department of Education,government agency in Oklahoma
Q1477575,Smithfield Foods,American meat processing company
Q4744758,American Public Health Association,organization
Q465697,American Medical Association,United States association of physicians and medical students
Q139901,Northern Arizona University,"public research university located in Flagstaff, Arizona, US"
Q79432,Bullhead City,"city in Mohave County, Arizona, United States"
Q990163,"Sterling, Colorado",city in Colorado
Q965657,Wampsville,"village located inside the Town of Lenox in Madison County, New York"
Q137916,Washtenaw County,"county in Michigan, United States"
Q49233,Orlando,"city in and county seat of Orange County, Florida, United States"
Q43788,"Madison, Wisconsin","city in and county seat of Dane County, Wisconsin, United States, and the capital city of Wisconsin"
Q1297,Chicago,"city and county seat of Cook County, Illinois, United States"
Q463665,American Cancer Society,health organization seeking to cure and treat cancer
Q664846,National Cancer Institute,"US research institute, part of National Institutes of Health"
Q4742888,American Academy of Family Physicians,American medical organization
Q12199,HIV/AIDS,human disease resulting from HIV II
Q28209496,remdesivir,chemical compound
Q4902157,Middle East respiratory syndrome coronavirus,species of virus
Q7907943,Vaccine Adverse Event Reporting System,system that measures harms from vaccines to ascertain whether the risk-benefit ratio is high enough
Q11081,Alzheimer's disease,"progressive, neurodegenerative disease characterized by memory loss"
Q16556,Phoenix,"county seat and capital city in Maricopa County, Arizona, USA, fifth largest city in the United States by population"
