WikidataID,itemLabel,en_description,sitelinks
Q573246,Anthony Fauci,American immunologist and head of the U.S. National Institute of Allergy and Infectious Diseases,59
Q7815868,Tom Frieden,"American physician, President and Chief Executive Officer at Resolve to Save Lives",6
Q28025108,Maria Van Kerkhove,American infectious disease epidemiologist (1977-),17
Q22686,Donald Trump,45th president of the United States (2017–2021),282
Q2522410,Victor Dzau,American academic,5
Q28595120,Diane Gashumba,Rwandan minister of health,6
Q441076,Veronika Skvortsova,Russian neurologist and politician,17
Q6932386,Muhammad Ali Pate,Nigerian politician,4
Q63302442,John R. Mascola,researcher,1
Q4932461,Bob Franken,American journalist,1
Q2356503,Michael Specter,journalist,5
Q7349114,Robert R. Redfield,American medical researcher,11
Q6832389,Michael M. Gottesman,American biochemist,2
Q88978852,Nancy E. Messonnier,American medical epidemiologist at the CDC,3
Q4768787,Anne Schuchat,American physician,4
Q31213302,Jerome Adams,Surgeon General of the United States,13
Q105103846,Jill R. Harper,American molecular biologist and policy advisor,1
Q6137050,James K. Gilman,United States Army Major general and physician,2
Q105099466,Tara N. Palmore,American physician-scientist and epidemiologist,1
Q28530101,Norris Cochran,American civil servant,4
Q7609399,Stephen M. Hahn,American radiation and medical oncologist,5
Q89108863,Barney S. Graham,"immunologist, virologist, and clinical trials physician in viral pathogenesis, immunity, and vaccine development",5
Q4977719,Bruce J. Tromberg,American chemist,2
Q6832696,J. Michael McGinnis,American physician,2
Q24239052,Deborah L. Birx,American physician and diplomat,21
Q87729570,Ramnik J Xavier,researcher,0
Q9196554,Li Lanjuan,Chinese epidemiologist,10
Q37375884,Vincent J. Munster,researcher,1
Q56425959,Roger I. Glass,American physician-scientist,2
Q88101315,Joe Grogan,health care official,2
Q3018737,David Rubenstein,American businessman,11
Q75682803,Eva K. Lee,American operations researcher,1
Q106813255,Charity Dean,American public health physician,1
Q16727586,Luciana Borio,American physician and public health administrator,4
Q160157,Joe Lieberman,politician from the United States,40
Q66732898,Peter Daszak,"zoologist, disease ecologist",9
Q65,Los Angeles,"city in and county seat of Los Angeles County, California, United States; second largest city in the United States by population",257
Q4120165,Perelman School of Medicine at the University of Pennsylvania,"medical school in Philadelphia, Pennsylvania, United States",8
Q1329269,The Wharton School,business school of the University of Pennsylvania,30
Q48340,CNN,US news television channel,101
Q3519875,National Institute of Allergy and Infectious Diseases,US research institute for the treatment and prevention of infectious diseases,21
Q186068,Fox News,American news channel,62
Q939416,The Lancet,medical journal,47
Q66096,United States Senate,upper house of the United States Congress,94
Q9684,The New York Times,American daily newspaper,109
Q13973,MSNBC,American television station specialising in news and information,36
Q1342,Pittsburgh,"county seat in Allegheny County, Pennsylvania, United States",136
Q861764,CBS News,television station,23
Q6956114,NYU Langone Medical Center,"hospital in New York, United States",2
Q663596,Gilead Sciences,American company,26
Q6954312,NIH Intramural Research Program,Biomedical research program,1
Q11746,Wuhan,"capital city of Hubei Province, China",172
