WikidataID,itemLabel,sitelinks
Q336213,"Mark Malloch Brown, Baron Malloch-Brown",12
Q3340601,Nicolas Michel,4
Q432772,Thoraya Obaid,6
Q2857348,Antonio Maria Costa,6
Q239235,Louise Arbour,22
Q3576998,Ãlvaro de Soto,5
Q1254,Kofi Annan,163
Q1254,Kofi Annan,
Q5562291,Gillian Sorensen,1
Q2836766,Alicia BÃ¡rcena Ibarra,10
Q572724,Jean-Marie GuÃ©henno,12
Q3076265,JosÃ© Antonio Ocampo,7
Q195616,Shashi Tharoor,33
Q85606,Achim Steiner,12
Q311440,AntÃ³nio Guterres,116
Q437150,Louise FrÃ©chette,14
Q7334364,Rima Khalaf,7
Q551363,Michel Camdessus,23
Q1348244,Jan Pronk,9
Q964396,Peter Sutherland,20
Q532124,Ian Martin,8
Q105882,Angela Kane,8
Q62889,Klaus TÃ¶pfer,19
Q456003,Anna Tibaijuka,20
Q193368,Ted Turner,57
Q5344526,Edward Mortimer,2
Q3196460,Kieran Prendergast,4
Q7970468,Warren Sach,1
Q5052540,Catherine Bertini,5
Q2373550,Jayantha Dhanapala,6
Q6065813,Iqbal Riza,1
Q2105,Jacques Chirac,149
Q2105,Jacques Chirac,w
Q57360,Hamad bin Khalifa Al Thani,56
Q504387,James Wolfensohn,25
Q933059,John Ruggie,11
Q9070985,Rubens Ricupero,6
Q6324235,K. Y. Amoako,3
Q17333600,Marta Mauras,4
Q37181,Luiz InÃ¡cio Lula da Silva,110
Q29230,Martti Ahtisaari,91
Q493567,Peter Piot,18
Q6390647,Kenneth Roth,9
Q22278554,Georg Kell,1
Q7041304,Nitin Desai,4
Q9545,Tony Blair,145
Q101547,Thabo Mbeki,96
Q1984290,Staffan de Mistura,20
Q5612033,Hans Corell,3
Q6143781,KenzÅ Åshima,6
Q334835,SÃ©rgio Vieira de Mello,31
Q1044155,Carol Bellamy,10
Q3479757,Sergei Ordzhonikidze,10
Q57329,Danilo TÃ¼rk,55
Q188214,Mary Robinson,70
Q1334761,Pino Arlacchi,9
Q55946337,Giandomenico Picco,2
Q6135054,James Gustave Speth,5
Q6958181,Nafis Sadik,7
Q7401237,Kensaku HÅgen,1
Q1138913,Juan SomavÃ­a,9
Q8023,Nelson Mandela,266
Q8010493,William H. Luers,3
Q2608966,Jacques Diouf,16
Q2898334,Bernard Miyet,2
Q29441674,Fred Eckhard,1
Q214959,Harry Belafonte,63
Q4119149,Nadia Younes,4
Q202443,Sadako Ogata,28
Q152850,Raoul Wallenberg,56
Q15919023,Vladimir Petrovsky,4
Q3573480,Yves Berthelot,1
Q570992,Yuli Vorontsov,12
Q12230458,Francis Deng,6
Q701990,Hisashi Owada,17
Q5313828,Dumisani Kumalo,1
Q3501742,StÃ©phane Dujarric,7
Q133308,Mohamed ElBaradei,77
Q7929640,Wang Guangya,3
Q75331132,Andrew Gilmour,1
Q22277755,Ahmad Fawzi,1
Q1259,Javier PÃ©rez de CuÃ©llar,80
Q557373,HÃ©di Annabi,16
Q5639237,Haile Menkerios,1
Q7279324,Rachel Mayanja,4
Q105336081,Patrick R. D. Hayford,1
Q953167,Ibrahim Gambari,16
Q15614942,Mohamed Sahnoun,8
Q4385607,Emyr Jones Parry,5
Q57405,Susilo Bambang Yudhoyono,79
Q346864,Mohammed Ibn Chambas,7
Q239105,GraÃ§a Machel,41
Q57452,FranÃ§ois BozizÃ©,51
Q106164,JoÃ£o Bernardo Vieira,54
Q314263,Fouad Siniora,37
Q127998,Mahmoud Abbas,90
Q43944,Hamid Karzai,105
Q223151,James Baker,48
Q57274,Yoweri Museveni,82
Q381113,Amr Moussa,34
Q34105,Hosni Mubarak,134
Q34105,Hosni Mubarak,w
Q47216,Condoleezza Rice,101
Q179242,Laurent Gbagbo,67
Q7047285,Noeleen Heyzer,5
Q3047936,Edmond Mulet,5
Q57265,Omar al-Bashir,89
Q6558218,Lisa M. Buttenheim,2
Q12908,George Soros,95
Q208834,RenÃ© PrÃ©val,52
Q336297,Ahmed Tejan Kabbah,37
Q3568769,William L. Swing,5
Q5284,Bill Gates,214
Q41395,JosÃ© Luis RodrÃ­guez Zapatero,96
Q36233,VÃ¡clav Havel,129
Q43969,Muhammad Yunus,106
Q5237901,David Nabarro,7
Q6733829,Maher Nasser,1
Q319189,Jeffrey Sachs,42
Q1362257,Terje RÃ¸d-Larsen,13
Q16729257,Tegegnework Gettu,1
Q5052552,Catherine Bragg,2
Q202006,Olusegun Obasanjo,59
Q460322,Kai Eide,10
Q1708133,"Joseph Verner Reed, Jr.",3
Q10707,Robert Mugabe,131
Q339955,Adama Dieng,7
Q3742229,Nane Annan,6
Q133009,Gro Harlem Brundtland,85
Q34211,Yasser Arafat,139
Q57350,Idriss DÃ©by,78
Q5052882,Catherine Pollard,2
Q1027431,Tim Wirth,11
Q7690371,TayÃ©-Brook Zerihoun,2
Q314524,Ange-FÃ©lix PatassÃ©,33
Q155649,Richard Holbrooke,53
Q8440,Hugo ChÃ¡vez,178
Q1231345,Paul Kagame,83
Q6181400,Jeremy Q. Greenstock,4
Q971354,Ivan Å imonoviÄ,12
Q573515,Anthony Lake,19
Q655512,Stephen Lewis,7
Q1001,Mohandas Karamchand Gandhi,258
Q734953,Sha Zukang,6
Q47139,Slobodan MiloÅ¡eviÄ,95
Q460743,Ameerah Haq,8
Q49344,Ãscar Arias SÃ¡nchez,72
Q1605329,Hennadiy Udovenko,17
Q50612,Susan Rice,43
Q57324,Blaise CompaorÃ©,62
Q240575,Queen Noor of Jordan,40
Q6143805,Yukio Takasu,3
Q3938383,Robert Muller,5
Q7105972,Oscar Fernandez-Taranco,2
Q3310864,Michel SidibÃ©,5
Q18217388,Nicholas Haysom,3
Q1690734,Joan Clos i Matheu,14
Q2192301,Robert H. Serry,8
Q152809,Laurent Nkunda,20
Q335698,"Valerie Amos, Baroness Amos",11
Q969273,JosÃ© Graziano da Silva,19
Q2830011,Alain Le Roy,6
Q6205132,Joan Holmes,3
Q6139802,Kiyotaka Akasaka,3
Q3229187,Leila Zerrougui,12
Q57343,Pierre Nkurunziza,75
Q57343,Pierre Nkurunziza,76
Q3595914,Vijay K. Nambiar,6
Q260363,Atul Khare,4
Q18812645,JÃ¡nos PÃ¡sztor,3
Q464429,Yuri Fedotov,13
Q57315,Salva Kiir Mayardit,67
Q270650,Margaret Chan,36
Q3134558,HervÃ© Ladsous,8
Q16729209,Thomas Gass,1
Q450326,MichÃ¨le Montas,7
Q2962083,Cheick Sidi Diarra,5
Q4834101,B. Lynn Pascoe,4
Q105667,Catherine Ashton,58
Q4837550,Babatunde Osotimehin,6
Q2120917,Alain LeRoy Locke,22
Q57413,Alassane Ouattara,72
Q7145775,Patricia O'Brien,4
Q4253165,Mark Lyall Grant,9
Q2577290,Wilfried Lemke,4
Q85763,Thomas Mayr-Harting,8
Q6143836,Jun Yamazaki,5
Q6873965,Miroslav JenÄa,2
Q1394102,Vitaly Churkin,35
Q215398,Martin Kobler,8
Q19604457,Lenni Montiel,1
Q57427,Michel Suleiman,49
Q7175369,Peter Launsky-Tieffenthal,3
Q16197258,Miguel de Serpa Soares,1
Q313297,Jim Yong Kim,45
Q450675,Pope Francis,202
Q20676224,Chang Wook-jin,1
Q2594644,Wu Hongbo,5
Q5623963,Gyan Chandra Acharya,2
Q4746340,Amina J. Mohammed,28
Q18686248,Cristina Gallach,6
Q461710,Asha-Rose Migiro,23
Q194654,Dirk Stikker,19
Q335004,"Hastings Ismay, 1st Baron Ismay",33
Q155691,Paul-Henri Spaak,51
Q3175875,Jean-Ãtienne Valluy,7
Q48093,Nikolai Bulganin,54
Q3372536,Paul Ãly,8
Q3372536,Paul Ãly,w
Q35314,Nikita Khrushchev,155
Q35314,Nikita Khrushchev,w
Q159603,WÅadysÅaw GomuÅka,51
Q159603,WÅadysÅaw GomuÅka,w
Q7324831,"Richard Coleridge, 4th Baron Coleridge",1
Q214758,Dean Acheson,50
Q93845,Charles Foulkes,12
Q6708623,Lynde D. McCormick,7
Q12309200,E.J.C. Qvistgaard,3
Q6524938,Leon W. Johnson,4
Q97585888,Harold Huglin,1
Q5127304,Clark L. Ruffner,6
Q1358041,Ernst Ferber,4
Q7032446,Nigel Henderson,4
Q15981,Robert Schuman,69
Q30487,Mikhail Gorbachev,170
Q1452949,"Frederick Millar, 1st Baron Inchyra",4
Q154855,Javier Solana,50
Q137265,L. Dana Wilgress,4
Q180588,Georgy Malenkov,78
Q180588,Georgy Malenkov,w
Q132899,Vyacheslav Molotov,92
Q132899,Vyacheslav Molotov,w
Q1959842,NATO Defense College,8
Q4651635,AGARD,2
Q7184,North Atlantic Treaty Organization,211
