WikidataID,itemLabel,sitelinks
Q180573,Republic of Vietnam,79.0
Q1297,Chicago,258.0
Q66096,United States Senate,94.0
Q1345,Philadelphia,183.0
Q17054,Martinique,171.0
Q18,South America,306.0
Q22,Scotland,247.0
Q11268,United States Congress,104.0
Q669037,West Indies,69.0
Q183231,Bank of England,66.0
Q12892,Antwerp,145.0
Q340,Montreal,178.0
Q23635,Bermuda,177.0
Q27611,Central America,192.0
Q35525,White House,131.0
Q50008,The Times,80.0
Q24879,Bremen,150.0
Q1055,Hamburg,213.0
Q1460,Sicily,179.0
Q1711,Potsdam,138.0
Q807,Lausanne,128.0
Q5973577,United States House Committee on Foreign Affairs,8.0
Q60,New York City,296.0
Q27509,Central Europe,153.0
Q25263,Azores,129.0
Q498979,Panama Canal Zone,36.0
Q56034,Federal Foreign Office,30.0
Q1693,North Sea,173.0
Q1806257,United States Senate Committee on Foreign Relations,16.0
Q1052356,Cecil Spring-Rice,9.0
Q358834,"Foreign, Commonwealth and Development Office",31.0
Q6514,Dardanelles,99.0
Q172771,Royal Navy,66.0
Q166,Black Sea,208.0
Q222595,British Army,50.0
Q5428,Siberia,161.0
Q27496,Western Europe,137.0
Q27407,East Africa,131.0
Q3301962,Eastern Mediterranean,22.0
Q959,Vladivostok,147.0
Q42956,Harbin,118.0
Q81126,Manchuria,96.0
Q1763,Murmansk,115.0
Q222241,Ministry of Foreign Affairs of Japan,23.0
Q81720,Silesia,88.0
Q103801,East Prussia,63.0
Q27468,Eastern Europe,146.0
Q7204,Middle East,215.0
Q39158,Chinese Eastern Railway,29.0
Q38095,Galapagos Islands,120.0
Q223,Greenland,231.0
Q38130,League of Nations,111.0
Q11220,United States Navy,78.0
Q1771942,United Fruit Company,30.0
Q9212,United States Army,76.0
Q789842,Ministry of Foreign Affairs of Italy,10.0
Q41621,Haifa,123.0
Q578269,HM Treasury,22.0
Q2003,Newfoundland and Labrador,133.0
Q176,Quebec,187.0
Q806950,Bank of France,35.0
Q25287,Gothenburg,147.0
Q1076619,French Army,34.0
Q33788,New Caledonia,169.0
Q505503,Cochinchina,33.0
Q789848,Ministry of Foreign Affairs of France,18.0
Q1546449,Hellenic Army,20.0
Q1904,Ontario,166.0
Q5083,Seattle,165.0
Q833040,Italian Navy,30.0
Q145,United Kingdom,347.0
Q8652,Miami,178.0
Q23482,Marseille,183.0
Q174994,Bessarabia,69.0
Q154950,Shell,65.0
Q1906,Caserta,84.0
Q48195,Basra,98.0
Q213510,Belgian Congo,57.0
Q27381,North Africa,150.0
Q5413,Yangtze,150.0
Q1183,Puerto Rico,201.0
Q54954590,United Nations Disarmament Commission,1.0
Q466039,continental Europe,49.0
Q115860,Federal Reserve Bank of New York,21.0
Q310293,Saar Protectorate,34.0
Q632552,French Parliament,41.0
Q2542544,Wallace S. Murray,2.0
Q26,Northern Ireland,199.0
Q319984,Italian Somalia,39.0
Q8646,Hong Kong,275.0
Q806700,bank of Greece,22.0
Q48214,Near East,106.0
Q907674,Suzhou Creek,26.0
Q696419,South Manchuria Railway,21.0
Q661364,Hongkou,27.0
Q1199713,Batavia,17.0
Q200106,Peopleâs Liberation Army,73.0
Q14773,Macau,212.0
Q1152171,Shanhaiguan District,15.0
Q16963,Jiangsu,116.0
Q68481,Fuzhou,94.0
Q183644,Pravda,65.0
Q3376770,Chinese Maritime Customs Service,6.0
Q359990,Wuhu,53.0
Q17427,Communist Party of China,97.0
Q790068,Bank of China,31.0
Q74881,Dalian,97.0
Q646394,Kwantung Army,38.0
Q19770,Sichuan,128.0
Q65,Los Angeles,257.0
Q21208,Hebei,113.0
Q46862,Hubei,124.0
Q15175,Guangdong,118.0
Q755179,People's Liberation Army Navy,35.0
Q1025339,Gulangyu,31.0
Q43194,Yunnan,119.0
Q185682,French Indochina,69.0
Q45761,Hunan,115.0
Q174091,Changsha,97.0
Q174,SÃ£o Paulo,241.0
Q991400,Puerto Barrios,38.0
Q610817,Bank of Brazil,22.0
Q500961,Secretariat of Foreign Affairs,8.0
Q163931,Comintern,76.0
Q1959942,Ministry of Foreign Affairs of USSR,17.0
Q326465,Supreme Soviet of the Soviet Union,52.0
Q729082,William D. Leahy,26.0
Q1234032,Sumner Welles,16.0
Q2326941,United States Maritime Commission,6.0
Q101886,Joachim von Ribbentrop,83.0
Q202171,Juho Kusti Paasikivi,58.0
Q345531,W. Averell Harriman,35.0
Q1450662,Government of France,32.0
Q154681,Anschluss,73.0
Q15124,South Tyrol,96.0
Q7785,Commonwealth of Nations,142.0
Q713750,West Germany,107.0
Q16957,German Democratic Republic,139.0
Q2966,Heidelberg,136.0
Q126148,Tangier,109.0
Q132689,Casablanca,93.0
Q457242,Spanish Protectorate in Morocco,36.0
Q1121819,Emirate of Transjordan,38.0
Q243634,Ogasawara Islands,40.0
Q35581,HokkaidÅ,147.0
Q993,Kamchatka Peninsula,95.0
Q249203,People's Bank of China,41.0
Q40285,New Guinea,126.0
Q183584,Lanzhou,94.0
Q155,Brazil,354.0
