WikidataID,itemLabel,en_description,sitelinks
Q180573,Republic of Vietnam,former country in Southeast Asia,79.0
Q1297,Chicago,"city and county seat of Cook County, Illinois, United States",258.0
Q66096,United States Senate,upper house of the United States Congress,94.0
Q1345,Philadelphia,"largest city in Pennsylvania, United States",183.0
Q17054,Martinique,"island in the Lesser Antilles, overseas region and department of France",171.0
Q18,South America,"continent, mainly on the Earth's southwestern quadrant",306.0
Q22,Scotland,"country in Northwest Europe, part of the United Kingdom",247.0
Q11268,United States Congress,bicameral legislature of the United States,104.0
Q669037,West Indies,island region in the Caribbean,69.0
Q183231,Bank of England,central bank of the United Kingdom,66.0
Q12892,Antwerp,"municipality in the province of Antwerp, Belgium",145.0
Q340,Montreal,"largest city in Quebec, Canada",178.0
Q23635,Bermuda,British overseas territory in the North Atlantic Ocean,177.0
Q27611,Central America,"southernmost region of North America, lying between Mexico and South America and comprising Panama, Costa Rica, Nicaragua, Honduras, El Salvador, Guatemala, and Belize",192.0
Q35525,White House,official residence and workplace of the President of the United States,131.0
Q50008,The Times,British daily (Monday to Saturday) national newspaper based in London,80.0
Q24879,Bremen,"city in the Bremen federated state, Germany",150.0
Q1055,Hamburg,city and federal state in the North of Germany,213.0
Q1460,Sicily,region of Italy,179.0
Q1711,Potsdam,capital city of the German state of Brandenburg,138.0
Q807,Lausanne,"capital city of the canton of Vaud, Switzerland",128.0
Q5973577,United States House Committee on Foreign Affairs,standing committee of the United States House of Representatives,8.0
Q60,New York City,largest city in the United States,296.0
Q27509,Central Europe,region of Europe,153.0
Q25263,Azores,Autonomous Region,129.0
Q498979,Panama Canal Zone,former U.S. territory within the Republic of Panama,36.0
Q56034,Federal Foreign Office,foreign ministry of Germany,30.0
Q1693,North Sea,marginal sea of the Atlantic Ocean,173.0
Q1806257,United States Senate Committee on Foreign Relations,Standing committee of the United States Senate,16.0
Q1052356,Cecil Spring-Rice,British diplomat,9.0
Q358834,"Foreign, Commonwealth and Development Office",Ministry of Foreign Affairs of the United Kingdom,31.0
Q6514,Dardanelles,strait in northwestern Turkey,99.0
Q172771,Royal Navy,maritime warfare branch of the United Kingdom's military,66.0
Q166,Black Sea,sea between Europe and Asia,208.0
Q222595,British Army,"principal land warfare force of the United Kingdom, a part of British Armed Forces",50.0
Q5428,Siberia,territory in Russia east of Urals,161.0
Q27496,Western Europe,region comprising the westerly countries of Europe,137.0
Q27407,East Africa,easterly region of the African continent,131.0
Q3301962,Eastern Mediterranean,Countries that are geographically located to the east of the Mediterranean Sea,22.0
Q959,Vladivostok,Russian city and the administrative center of Primorsky Krai,147.0
Q42956,Harbin,"capital of Heilongjiang province, China",118.0
Q81126,Manchuria,geographic region in Northeast Asia,96.0
Q1763,Murmansk,city in the northwest of Russia,115.0
Q222241,Ministry of Foreign Affairs of Japan,ministry in charge of the diplomatic relations of Japan with other countries,23.0
Q81720,Silesia,"region of Central Europe now located mostly in Poland, with small parts in the Czech Republic and Germany",88.0
Q103801,East Prussia,province of Prussia,63.0
Q27468,Eastern Europe,eastern part of the European continent,146.0
Q7204,Middle East,region that encompasses majority of Western Asia and Egypt,215.0
Q39158,Chinese Eastern Railway,railway line,29.0
Q38095,Galapagos Islands,province of Ecuador consisting of an archipelago in the Pacific Ocean,120.0
