WikidataID,itemLabel,sitelinks
Q27,Eire,301
Q27,ie,301
Q27,🇮🇪,301
Q27,Ireland (state),301
Q23,American Fabius,243
Q23,Father of the United States,243
Q23,The American Fabius,243
Q27,Southern Ireland,301
Q27,Ireland,301
Q27,Éire,301
Q27,IRL,301
Q27,Hibernia,301
Q27,IE,301
Q27,"Ireland, Republic of",301
Q38,ITA,387
Q38,Italia,387
Q38,IT,387
Q38,🇮🇹,387
Q38,Italian Republic,387
Q38,Repubblica Italiana,387
Q38,Republic of Italy,387
Q91,A. Lincoln,275
Q91,Abe Lincoln,275
Q91,President Lincoln,275
Q91,Uncle Abe,275
Q148,China,374
Q148,China PR,374
Q148,CHN,374
Q148,cn,374
Q148,CN,374
Q148,🇨🇳,374
Q148,Mainland China,374
Q148,PR China,374
Q148,PRC,374
Q148,RPC,374
Q91,Lincoln,275
Q91,Honest Abe,275
Q131691,Wellington,97
Q131691,Iron Duke,97
Q131691,Great Duke,97
Q131691,The Duke of Wellington,97
Q131691,Duke of Wellington,97
Q131691,"Arthur Wellesley, Duke of Wellington",97
Q131691,1st Duke of Wellington,97
Q131691,1st Duke of Wellington Arthur Wellesley,97
Q131691,"1st duke of Wellington, marquess of Douro, marquess of Wellington, earl of Wellington, Viscount Wellington of Talavera and of Wellington, Baron Douro or Wellesley Arthur Wellesley",97
Q131691,Arthur Wellesley Wellington 1st Duke of,97
Q131691,"Arthur Wesley, Duke of Wellington",97
Q131691,"Arthur, Duke of Wellington Wellesley",97
Q131691,Duke of Wellington Arthur Wellesley,97
Q131691,"Field Marshal Arthur Wellesley, 1st Duke of Wellington",97
Q252,INA,337
Q252,ID,337
Q252,id,337
Q131792,Orinoco,93
Q134750,St. Lawrence,99
Q134750,Fleuve Saint-Laurent,99
Q134750,Saint Lawrence River,99
Q134750,St Lawrence River,99
Q668,Bharata,377
Q668,Bharatvarsh,377
Q668,Hindoostan,377
Q668,Hindustan,377
Q668,🇮🇳,377
Q668,Indostan,377
Q668,Republic of India,377
