WikidataID,itemLabel,en_description,instanceof
Q76039,Hudson's Bay Company,"Canadian retail business group, former fur trading business",business
Q1350848,"Vincent, Count Benedetti",French diplomat and politician (1817-1900),human
Q189145,Antonio López de Santa Anna,Mexican politician and military leader (1794-1876),human
Q5750927,Carlos Massad,Chilean politician and economist,human
Q1822088,Lewis D. Campbell,American politician (1811-1882),human
Q3131631,Henri Mercier,French ambassador to the United States (1816-1886),human
Q5544443,George Seward,American diplomat and insurance executive,human
Q3562543,George Horton,American diplomat,human
Q42314,Channel Islands,archipelago in the English Channel,archipelago
Q75150,Yingkou,"prefecture-level city in Liaoning, China",prefecture-level city
Q274294,Édouard Drouyn de Lhuys,French diplomat (1805-1881),human
Q5362881,George Clayton Foulk,American diplomat (1856-1893),human
Q6143091,James Shepherd Pike,American journalist (1811-1882),human
Q16037603,Bruce Burnside,British colonial judge,human
Q3127920,Harry Smith Parkes,British diplomat (1828-1885),human
Q127513,Kanagawa Prefecture,prefecture of Japan,prefecture of Japan
Q193727,Johns Hopkins University,"private university in Baltimore, Maryland, USA",university
Q741482,George Bancroft,"American historian, statesman, founder of United States Naval Academy (1800-1891)",human
Q276098,Ahmed Tevfik Okday,Ottoman statesman and Grand Vizier (1845–1936),human
Q7345417,Robert Henry Clarence,16th King of the Mosquito Nation,human
Q6970853,National Awami Party,political party in East and West Pakistan,political party
Q888935,Boca Chica,human settlement in the Dominican Republic,municipality of the Dominican Republic
Q6713002,M. Peter McPherson,American political advisor,human
Q769418,Thomas A. Osborn,American politician (1836-1898),human
Q737517,Fort Sumter,"fort in Charleston, South Carolina",sea fort
Q81518,François Achille Bazaine,French general (1811-1888),human
Q16648085,William Insco Buchanan,(1853-1909),human
Q38346,"Odo Russell, 1st Baron Ampthill",British diplomat (1829-1884),human
Q2626919,Ernest Picard,French lawyer and politician,human
Q5734156,Herbert Goldsmith Squiers,American diplomat,human
Q87759000,John B. Jackson,American lawyer and diplomat (1862-1920),human
Q2706504,Mustafa Riad Pasha,Egyptian statesman,human
Q8025026,Winfield Scott Schley,United States Navy rear admiral (1839-1911),human
Q114385,Matthew Fontaine Maury,United States Navy officer,human
Q3951291,Rufino de Elizalde,Argentine politician (1822-1887),human
Q4398741,Rawson William Rawson,British statistician (1812-1899),human
Q10307334,Joaquim Nabuco,Brazilian writer and statesman,human
Q57958,Zhenjiang,"prefecture-level city in Jiangsu, China",prefecture-level city
Q191829,Magdalena River,river in Colombia,river
Q916935,Ruy Barbosa,"Brazilian politician, writer and jurist (1849-1923)",human
Q5126162,Clare Ford,British diplomat (1828-1899),human
Q151929,Eduard Shevardnadze,Georgian politician and diplomat (1928–2014),human
Q387614,Count Friedrich Ferdinand von Beust,German politician (1809-1886),human
Q16644,Northern Mariana Islands,islands in the United States,country
Q47097,Guizhou,landlocked province of the People's Republic of China,province
Q1962777,Papantla,"City located in the north of the state of Veracruz, Mexico",locality of Mexico
Q1432360,Ronald Reagan Presidential Library,"presidential library and museum for U.S. President Ronald Reagan in Simi Valley, California",museum
Q882617,Edward M. McCook,Union Army general,human
Q466115,Judah P. Benjamin,American politician and lawyer (1811-1884),human
Q181857,Bay of Fundy,bay on the Atlantic coast of Canada noted for high tides,bay
Q28059226,Robert McLane,American politician; 32nd Mayor of Baltimore,human
Q27843697,Arthur P. Peterson,(1858-1895),human
Q13407942,George Henry Boker,"American poet, playwright, and diplomat",human
Q681470,George G. Fogg,American politician (1813-1881),human
Q297628,Saionji Kinmochi,Japanese politician (1849-1940),human
Q7790338,Thomas Haines Dudley,American diplomat,human
Q4756243,Andrew B. Dickinson,American politician (1801-1873),human
Q17047955,Olyphant & Co.,American merchant trading house or hong in 19th-century China,business
Q298997,Levi P. Morton,vice president of the United States from 1889 to 1893,human
Q275445,Jewish Defense League,"Jewish far-right religious-political organization in the United States, whose stated goal is to ""protect Jews from antisemitism by whatever means necessary""",religious organization
Q199618,Monticello,the primary plantation of Thomas Jefferson,plantation
