WikidataID,itemLabel,en_description,sitelinks
Q5589204,Government of Ethiopia,administrative units of Ethiopia,6
Q626814,Government of South Korea,National government of South Korea,10
Q16957,German Democratic Republic,"19491990 country in central Europe, unified into modern Germany",139
Q1154060,politics of the Dominican Republic,,8
Q2767140,Government of India,national union government of India,49
Q241,Cuba,sovereign state situated on an island in the Caribbean Sea,304
Q469498,Souvanna Phouma,Prime Minister of Laos,32
Q819,Laos,sovereign state in Southeast Asia,281
Q15462156,Government of Turkey,government of Turkey,3
Q79854,Communist Party of the Soviet Union,political party founded in 1912,95
Q6063,Government of the United Kingdom,"central government of England, the United Kingdom of Great Britain and Northern Ireland",45
Q20716634,Government of Indonesia,national government of Indonesia,8
Q5440529,Federal government of Mexico,national government of the United Mexican States,1
Q796,Iraq,sovereign state in western Asia,317
Q229,Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea,296
Q390947,Federal Government of Belgium,National government,13
Q858,Syria,sovereign state in western Asia,305
Q1153571,politics of Bolivia,,13
Q5440531,Federal Government of Brazil,executive authority of Brazil,8
Q1049,Sudan,sovereign state in northeast Africa,296
Q805,Yemen,sovereign state in western Asia,284
Q48525,Federal Government of the United States of America,national government of the United States,53
Q873675,Government of Thailand,Thai government overview,8
Q77,Uruguay,sovereign state in South America,286
Q298,Chile,sovereign state in South America,362
Q936190,Government of the People's Republic of China,administrative bodies of China,21
Q1450662,Government of France,body exerting the executive power in France,32
Q217169,Rhodesia,(1965-79) Unauthorized state in South Africa,67
Q713750,West Germany,Federal Republic of Germany in the period between its formation on 23 May 1949 and German reunification on 3 October 1990,107
Q836,Myanmar,sovereign state in Southeast Asia,286
Q2578249,cabinet of Israel,exercises executive authority in the State of Israel,19
Q180573,Republic of Vietnam,former country in Southeast Asia,79
Q172640,North Vietnam,former socialist republic in Southeast Asia,70
Q774,Guatemala,sovereign state in Central America,258
Q262,Algeria,sovereign country in North Africa,320
Q5589332,Government of Venezuela,,3
Q916,Angola,sovereign state in Africa,296
Q902,Bangladesh,sovereign state in South Asia,309
Q8508468,Government of Argentina,national government of the Argentine Republic,8
Q4398189,LibyaRussia relations,Bilateral relations between Russia and Libya,8
Q4845528,IsraelSyria relations,Bilateral relations between Israel and Syria,13
