WikidataID,itemLabel,en_description,sitelinks
Q336213,"Mark Malloch Brown, Baron Malloch-Brown",president of Open Society Foundations and former British Labour politician and United Nations Deputy Secretary-General,12
Q3340601,Nicolas Michel,Swiss lawyer,4
Q432772,Thoraya Obaid,Saudi Arabian politician and diplomat,6
Q2857348,Antonio Maria Costa,UN official,6
Q239235,Louise Arbour,Canadian judge,22
Q3576998,Ãlvaro de Soto,Peruvian diplomat,5
Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),163
Q5562291,Gillian Sorensen,American United Nations advisor,1
Q2836766,Alicia BÃ¡rcena Ibarra,Mexican diplomat,10
Q572724,Jean-Marie GuÃ©henno,French diplomat,12
Q3076265,JosÃ© Antonio Ocampo,Colombian economist and politician,7
Q195616,Shashi Tharoor,"Indian politician, diplomat, author",33
Q85606,Achim Steiner,German politician and public servant,12
Q311440,AntÃ³nio Guterres,Secretary-General of the United Nations,116
Q437150,Louise FrÃ©chette,Canadian diplomat and public servant,14
Q7334364,Rima Khalaf,United Nations Under-Secretary-General,7
Q551363,Michel Camdessus,French economist,23
Q1348244,Jan Pronk,Dutch politician,9
Q964396,Peter Sutherland,"Irish businessman, barrister and politician (1946â2018)",20
Q532124,Ian Martin,UN Official,8
Q105882,Angela Kane,German diplomat,8
Q62889,Klaus TÃ¶pfer,German politician,19
Q456003,Anna Tibaijuka,Tanzanian politician,20
Q193368,Ted Turner,"American media mogul, entrepreneur, and philanthropist",57
Q5344526,Edward Mortimer,"British journalist, and chief speechwriter and director of communications at the UN",2
Q3196460,Kieran Prendergast,British diplomat (born 1942),4
Q7970468,Warren Sach,united Nations official,1
Q5052540,Catherine Bertini,American scientist,5
Q2373550,Jayantha Dhanapala,Sri Lankan diplomat,6
Q6065813,Iqbal Riza,Pakistani diplomat,1
Q2105,Jacques Chirac,French statesman and official (1932â2019),149
Q57360,Hamad bin Khalifa Al Thani,Emir of Qatar from 1995 to 2013,56
Q504387,James Wolfensohn,President of the World Bank,25
Q933059,John Ruggie,Political science professor,11
Q9070985,Rubens Ricupero,Brazilian diplomat,6
Q6324235,K. Y. Amoako,Ghanaian economist and Executive Secretary of the UN Economic Commission for Africa,3
Q17333600,Marta Mauras,"Chilean diplomat, sociologist",4
Q37181,Luiz InÃ¡cio Lula da Silva,"Brazilian politician, 35th president of Brazil",110
Q29230,Martti Ahtisaari,Finnish politician and former President of Finland,91
Q493567,Peter Piot,Belgian microbiologist known for research into Ebola and AIDS,18
Q6390647,Kenneth Roth,American human rights activist,9
Q22278554,Georg Kell,Founder of the United Nations Global Compact,1
Q7041304,Nitin Desai,Indian economist,4
Q9545,Tony Blair,Prime Minister of the United Kingdom from 1997 to 2007,145
Q101547,Thabo Mbeki,"South African politician, former President of South Africa",96
Q1984290,Staffan de Mistura,Italian-Swedish diplomat,20
Q5612033,Hans Corell,Swedish politician,3
Q6143781,KenzÅ Åshima,Japanese diplomat (1943-2021),6
Q334835,SÃ©rgio Vieira de Mello,UN official (1948-2003),31
Q1044155,Carol Bellamy,American politician,10
Q3479757,Sergei Ordzhonikidze,UN official,10
Q57329,Danilo TÃ¼rk,President of Slovenia,55
Q188214,Mary Robinson,former President of Ireland and former United Nations High Commissioner for Human Rights,70
Q1334761,Pino Arlacchi,Italian sociologist,9
Q55946337,Giandomenico Picco,,2
Q6135054,James Gustave Speth,American environmental lawyer and advocate,5
Q6958181,Nafis Sadik,"Obstetrician, United Nations Advisor",7
Q7401237,Kensaku HÅgen,Japanese ambassador,1
Q1138913,Juan SomavÃ­a,Chilean diplomat,9
Q8023,Nelson Mandela,First President of South Africa and anti-apartheid activist (1918â2013),266
Q8010493,William H. Luers,American diplomat,3
Q2608966,Jacques Diouf,Senegalese politician,16
Q2898334,Bernard Miyet,French official,2
Q29441674,Fred Eckhard,UN Secretary-General Kofi Anan spokesman,1
Q214959,Harry Belafonte,American musician and actor,63
Q4119149,Nadia Younes,Egyptian diplomat,4
Q202443,Sadako Ogata,Japanese diplomat,28
Q152850,Raoul Wallenberg,"Swedish architect, businessman, diplomat and humanitarian (1912-1947)",56
Q15919023,Vladimir Petrovsky,Soviet-Russian diplomat and United Nations official,4
Q3573480,Yves Berthelot,French economist,1
Q570992,Yuli Vorontsov,Russian/Soviet diplomat (1929-2007),12
Q12230458,Francis Deng,South Sudanese diplomat,6
Q701990,Hisashi Owada,Japanese diplomat,17
Q5313828,Dumisani Kumalo,South African diplomat and anti-apartheid activist,1
Q3501742,StÃ©phane Dujarric,UN official,7
Q133308,Mohamed ElBaradei,"Egyptian law scholar and diplomat, former Director General of the International Atomic Energy Agency, and Nobel Peace Prize recipient",77
Q7929640,Wang Guangya,Director of the Hong Kong and Macau Affairs Office,3
Q75331132,Andrew Gilmour,British UN official,1
Q22277755,Ahmad Fawzi,Egyptian press director,1
