WikidataID,itemLabel,sitelinks
Q23,American Fabius,241
Q23,Father of the United States,241
Q23,The American Fabius,241
Q40,AT,351
Q40,AUT,351
Q40,Österreich,351
Q40,Republic of Austria,351
Q40,Republik Österreich,351
Q40,🇦🇹,351
Q61,US-DC,289
Q61,Washington DC,289
Q61,"Washington, D.C., U.S.",289
Q61,"Washington, District of Columbia",289
Q61,"Washington, D. C.",289
Q61,D.C. Washington,289
Q70,Berne,195
Q70,Berna,195
Q61,Washington,289
Q61,The District,289
Q61,D.C.,289
Q61,DC,289
Q61,District of Columbia,289
Q61,Washington D.C.,289
Q61,"Washington, DC",289
Q70,city of Bern,195
Q71,Geneve,182
Q71,Genève,182
Q71,Geneva GE,182
Q71,Genf,182
Q78,Basle,144
Q78,Bâle,144
Q78,Basel BS,144
Q88,"Alexandria, Virginia",70
Q88,"Alexandria, VA",70
Q88,City of Alexandria,70
Q88,"City of Alexandria, Virginia",70
Q96,MEX,384
Q96,MX,384
Q96,mx,384
Q96,MXN,384
Q96,Mexican Republic,384
Q96,🇲🇽,384
Q96,United Mexican States,384
Q96,US of M,384
Q142,French Republic,380
Q142,FRA,380
Q142,fr,380
Q142,FR,380
Q3915,Analamanga,156
Q3915,Iarivo,156
Q3915,Tananarive,156
Q3926,ePitoli,179
Q3926,"Pretoria, Gauteng",179
Q3926,"Pretoria, Gauteng, South Africa",179
Q3926,"Pretoria, S Africa",179
Q3926,"Pretoria, S. Africa",179
Q3926,"Pretoria, South Africa",179
Q3992,Luik,121
Q3992,Lîdje,121
Q3992,Liége,121
Q5089,Ganga,159
Q5089,Ganges River,159
Q5089,River Ganges,159
Q5451,Himalaya,192
Q5451,Himalaya Mountains,192
Q5451,Himalayan Mountains,192
Q5451,The Himalayas,192
Q5505,Lake Nyanza,143
Q5505,Victoria Nyanza,143
Q5532,Lago Niassa,98
Q5532,Lake Nyasa,98
Q5532,Lake Nyassa,98
Q5859,Chichén Itzá,105
Q5972,Medan City,97
Q142,Republic of France,380
Q142,the Hexagon,380
Q7296,Kilima-Njaro,166
Q7296,Mount Kilimawn,166
Q7296,Mt Kilimanjaro,166
Q7296,Mt. Kilimanjaro,166
Q7355,Hoang-ho,144
Q7355,Hoan-ho,144
Q7355,Huang He River,144
Q7355,Huanghe River,144
Q7817,WHO,188
Q7817,euro.who.int,188
Q145,Britain,361
Q145,UK,361
Q145,G. B.,361
Q145,GBR,361
Q145,Great Britain,361
Q145,GB,361
Q145,G.B.,361
Q145,United Kingdom of Great Britain and Northern Ireland,361
Q7903,White House,138
Q7903,Anfa,138
Q7903,ad-dār al-bayḍā,138
Q7903,Bedawa,138
Q8027,MLK,222
Q8027,Michael King,222
Q8027,Martin Luther King,222
Q8027,"Martin Luther King, Jr.",222
Q8027,Dr. King,222
Q8027,M.L. King,222
Q8027,"Martin Luther, Jr. King",222
