WikidataID,itemLabel,en_description,instanceof
Q8012895,Stanford Law School,"graduate school of Stanford University, California, U.S",organization
Q284230,Arthur Frank Burns,American economist and diplomat (1904-1987),human
Q2299118,Enrique Zobel,prominent Filipino businessman,human
Q132956,Taklamakan,"desert in Xinjiang Uyghur Autonomous Region, China",desert
Q16104453,John M. Hennessy,US Treasury,human
Q7124874,Paine Webber,American investment bank and stock brokerage firm,business
Q1077459,Colombo Plan,cooperative organization focused on human resources development,organization
Q463261,Grumman,1929-1994 aerospace manufacturer,aerospace manufacturer
Q1365318,Gamani Corea,"Sri Lankan economist, civil servant and diplomat (1925-2013)",human
Q5508996,Fundação Getúlio Vargas,Brazilian institution of higher education,university
Q1472358,University of Houston,"state research university in Houston, Texas, United States",university
Q1576206,Atrato,Colombian municipality of the department of Chocó,municipality of Colombia
Q6902224,Monroe Leigh,American political scientist,human
Q2506390,Petroperú,Peruvian petroleum company,business
Q3127696,Harper,American publishing company,publisher
Q212322,GSK,British multinational pharmaceutical and biotechnology company,public company
Q463250,Lester Russell Brown,American environmental analyst,human
Q22132975,A. Sivasailam,Indian industrialist,human
Q168517,Ismail Serageldin,Egyptian academic,human
Q163239,Balochistan,province of Islamic Republic of Pakistan,province of Pakistan
Q3718,Dakar,capital and the largest city of Senegal,capital city
Q1558125,Richard Ottinger,American politician,human
Q3523079,Ananda College,"boys' school in Colombo, Sri Lanka",school
Q7260286,Punjab Province,Wikimedia disambiguation page,Wikimedia disambiguation page
Q3484401,Simon Nora,French official (1921-2006),human
Q12243230,Mashour Haditha Al-Jazy,,human
Q4301,Arusha,"city in Arusha Region, Tanzania",city
Q7125589,Pakistan Industrial Development Corporation,Pakistani government-run corporation,business
Q664420,"Brown, Boveri & Cie",former Swiss company,business
Q6429071,Konedobu,"place in NCD, Papua New Guinea",suburb
Q4792830,Armando Samper Gnecco,Colombian agronomist (1920-2010),human
Q5040073,Carl E. Taylor,American academic (1916-2010),human
Q715862,León Roldós Aguilera,Vice President of Ecuador,human
Q468055,Habib Thiam,Senegalese politician (1933-2017),human
Q651131,Kota Bharu,"state capital of Kelantan, Malaysia",town
Q169889,American Broadcasting Company,American broadcast television network owned by The Walt Disney Company,radio network
Q5750927,Carlos Massad,Chilean politician and economist,human
Q380452,Uthman Dan Fodio,founder of the Sokoto Caliphate,human
Q676203,Machu Picchu,15th-century Inca citadel in the Peruvian Andes and UNESCO World Heritage Site,tourist attraction
Q313117,Luis Carrero Blanco,Spanish admiral and politician,human
Q5486386,Frank E. Loy,American businessman and diplomat,human
Q468481,Ali Murtopo,Indoneisan politician and general (1924-1984),human
Q898097,Faber & Faber,British publishing house,book publisher
Q434348,Phillip D. Cagan,American economist,human
Q7906086,V. K. R. V. Rao,Indian politician,human
Q1750993,William Halcrow,"one of the most notable English civil engineers of the 20th century, particularly renowned for his expertise in the design of tunnels and for projects during the Second World War.",human
Q6724624,Maclean-Hunter,"defunct Canadian company, which had holdings in radio, television, magazines, newspapers and cable television distribution",company
Q3805,Amman,capital of Jordan,city
Q677555,Rashtrapati Bhavan,official residence of the President of India,official residence
Q2928049,Bulletin of the World Health Organization,journal,academic journal
Q6122177,Basantapur Durbar Square,"square in Kathmandu, Nepal",square
Q27811447,Marla Romash,Democratic political consultant and speechwriter and pastry chef,human
Q2391961,Tan Siew Sin,Malaysian politician (1916-1988),human
Q3273657,Kuwait University,university in Kuwait,public university
Q242424,Freedom House,American non-profit research center,non-governmental organization
Q1035803,International Grains Agreement,,treaty
