WikidataID,itemLabel
Q1010514,Bureau of International Expositions
Q1031074,Camphill Movement
Q1043527,Multilateral Investment Guarantee Agency
Q10457748,Conference of Peripheral Maritime Regions of Europe
Q1046722,Industrial Workers of the World
Q1052077,Organization of Arab Petroleum Exporting Countries
Q10532966,ISIA
Q1065,United Nations
Q1067053,Global Association of International Sports Federations
Q10720499,Worldskills International
Q1072120,Missile Technology Control Regime
Q11189488,Asia-Pacific Management Accounting Association
Q1127581,Consortium of European Research Libraries
Q1144508,United Nations Economic Commission for Africa
Q1153087,Inter-American Development Bank
Q1163697,World Road Association
Q118922,United Nations Observer Mission in Georgia
Q119945,Hillel International
Q1201831,German-Polish Youth Office
Q1210996,Atheist Alliance International
Q123759,Organization of American States
Q12582150,Typhoon Committee
Q1264411,"Islamic world Educational, Scientific and Cultural Organization"
Q129516,International Academy of Sciences San Marino
Q13116,Benelux
Q132551,United Nations High Commissioner for Refugees
Q1331152,Open Government Partnership
Q1334284,International Federation of Library Associations and Institutions
Q1337904,International Transport Forum
Q1344350,Southern African Customs Union
Q1387979,FDI World Dental Federation
Q1414657,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Q141720,European Air Transport Command
Q1425247,International Social Science Council
Q1428532,United Nations Disengagement Observer Force
Q1428922,International Association for Research in Income and Wealth
Q14555566,International Planning History Society
Q1457461,United Nations Observer Mission in Liberia
Q146165,Nordic Council
Q146905,Zangger Committee
Q1474730,International Humanitarian Fact-Finding Commission
Q1480793,Nuclear Suppliers Group
Q14816384,Football Supporters Europe
Q1484641,GASCO
Q1500985,Commonwealth of Unrecognized States
Q151991,European Southern Observatory
Q15278864,World Cultural Council
Q1548793,Intersputnik
Q157169,YMCA
Q1579424,Strategic Airlift Capability
Q16002010,African Union of Broadcasting
Q160805,United Nations Interim Force in Lebanon
Q1618990,European Beer Consumers' Union
Q162027,International Federation of Translators
Q1636581,Humana People to People
Q1639820,International Association of Geodesy
Q16531299,Development Bank of the Central African States
Q1657077,Women's International Zionist Organization
Q166110,Union State
Q1665196,World Federation for Chess Composition
Q166546,European Free Trade Association
Q1665759,Inter-American Defense Board
Q1666347,World Obesity Federation
Q1666462,International Conference for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use
Q1666533,International Federation of Air Line Pilots' Associations
Q1666544,International Federation of University Women
Q1666741,International Maritime Rescue Federation
Q1666817,International Post Corporation
Q1666905,International Society for Knowledge Organization
Q1667048,Workers International Relief
Q1667509,International Association of Sound and Audiovisual Archives
Q16909551,Sunni Students Council
Q16943663,International Diving Regulators and Certifiers Forum
Q16978254,Children's Hospital Association
Q17011152,European Centre for Ecotoxicology and Toxicology of Chemicals
Q170245,United Nations Protection Force
Q170481,Asia-Pacific Economic Cooperation
Q17072694,Coastal & Marine Union
Q17090757,UCLG Middle East and West Asia
Q1709362,Committee Against Torture
Q1711776,World Fair Trade Organization
Q174240,Transparency International
Q1766099,International Institute of Agriculture
Q1787062,Saami Council
Q182500,Community of Portuguese Language Countries
Q18418404,International Centre for Higher Studies in Journalism for Latin America
Q1856835,Pan American Health Organization
Q189966,Economic Community of Central African States
Q190019,Central American Common Market
Q190193,International Society for Krishna Consciousness
Q191582,COMECON
Q191703,Organisation of African Unity
Q192247,European Investment Bank
Q193272,Economic Community of West African States
Q1939300,Council for German Orthography
Q194284,General Agreement on Tariffs and Trade
Q1971799,United Nations Angola Verification Mission III
Q2001993,United Nations Preventive Deployment Force
Q2028860,Aquaculture Stewardship Council
Q2029901,OHADA
Q2047926,Cooperative Cyber Defence Centre of Excellence
Q205386,World Zionist Organization
Q2064062,United Nations IraqâKuwait Observation Mission
Q208019,Eastern Partnership
Q215613,Unrepresented Nations and Peoples Organization
Q215934,Save the Children
Q219575,United Nations peacekeeping
Q221779,European Conference of Postal and Telecommunications Administrations
Q229478,International Bureau of Weights and Measures
Q2296909,Society of Environmental Toxicology and Chemistry
Q2297691,Indian-Ocean Rim Association
Q23038092,Global Research Collaboration for Infectious Disease Collaboration
Q23047642,Global Virus Network
Q2328638,European Go Federation
Q24190853,CANZUK International
Q2434028,North Atlantic Cooperation Council
Q245076,Interstate Aviation Committee
Q24896411,Covenant Christian Coalition
Q24960186,IUCN Red List of Ecosystems
Q252420,International Peace Bureau
Q2561760,European Banking Federation
Q257597,Society for Worldwide Interbank Financial Telecommunication
Q260487,European Community
Q262250,International Crops Research Institute for the Semi-Arid Tropics
