WikidataID,itemLabel,en_description
Q1010514,Bureau of International Expositions,international organization
Q1031074,Camphill Movement,Special education
Q1043527,Multilateral Investment Guarantee Agency,International financial institution
Q10457748,Conference of Peripheral Maritime Regions of Europe,
Q1046722,Industrial Workers of the World,international union founded in 1905
Q1052077,Organization of Arab Petroleum Exporting Countries,
Q10532966,ISIA,International organization for ski instructors
Q1065,United Nations,global international and intergovernmental organization
Q1067053,Global Association of International Sports Federations,international sports organization
Q10720499,Worldskills International,international governing body of WorldSkills
Q1072120,Missile Technology Control Regime,multilateral export control regime to prevent the proliferation of missile and unmanned aerial vehicle technology
Q11189488,Asia-Pacific Management Accounting Association,international organization
Q1127581,Consortium of European Research Libraries,consortium
Q1144508,United Nations Economic Commission for Africa,organization
Q1153087,Inter-American Development Bank,international organization
Q1163697,World Road Association,organization
Q118922,United Nations Observer Mission in Georgia,United Nations peacekeeping operation in Georgia from 1993 to 2009
Q119945,Hillel International,Hillel International: The Foundation for Jewish Campus Life.
Q1201831,German-Polish Youth Office,
Q1210996,Atheist Alliance International,International Organization
Q123759,Organization of American States,international organization
Q12582150,Typhoon Committee,
Q1264411,"Islamic world Educational, Scientific and Cultural Organization",one of the largest international Islamic organizations
Q129516,International Academy of Sciences San Marino,international scientific association
Q13116,Benelux,"politico-economic union between Belgium, the Netherlands and Luxembourg"
Q132551,United Nations High Commissioner for Refugees,United Nations agency mandated to protect and support refugees
Q1331152,Open Government Partnership,international organization
Q1334284,International Federation of Library Associations and Institutions,organization of libraries
Q1337904,International Transport Forum,OECD inter-governmental organization
Q1344350,Southern African Customs Union,"customs union, established in 1910, among five countries of Southern Africa: Botswana, Lesotho, Namibia, South Africa and Swaziland"
Q1387979,FDI World Dental Federation,international organization
Q1414657,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",international organization
Q141720,European Air Transport Command,Pan-European command centre for military transport
Q1425247,International Social Science Council,organization
Q1428532,United Nations Disengagement Observer Force,agency overseeing Israeli–Syrian ceasefire
Q1428922,International Association for Research in Income and Wealth,
Q14555566,International Planning History Society,international academic organization
Q1457461,United Nations Observer Mission in Liberia,a peacekeeping force established in September 2003 to monitor a ceasefire agreement in Liberia
Q146165,Nordic Council,geo-political inter-parliamentary forum for co-operation between the Nordic countries
Q146905,Zangger Committee,supranational organization concerned with reducing the proliferation of nuclear technologies
Q1474730,International Humanitarian Fact-Finding Commission,international body that is available to perform investigations of possible breaches of international humanitarian law
Q1480793,Nuclear Suppliers Group,intergovernmental organization
Q14816384,Football Supporters Europe,
Q1484641,GASCO,international organization
Q1500985,Community for Democracy and Rights of Nations,organization of unrecognized states
Q151991,European Southern Observatory,intergovernmental research organization for ground-based astronomy
Q15278864,World Cultural Council,"International organization whose goals are to promote cultural values, goodwill and philanthropy among individuals."
Q1548793,Intersputnik,
Q157169,World Alliance of YMCAs,worldwide organization
Q1579424,Strategic Airlift Capability,multinational initiative that provides its participating nations assured access to military airlift capability
Q16002010,African Union of Broadcasting,
Q160805,United Nations Interim Force in Lebanon,United Nations-NATO peacekeeping mission
Q1618990,European Beer Consumers' Union,
Q162027,International Federation of Translators,"The voice of associations of translators, interpreters and terminologists around the world"
Q1636581,Humana People to People,
Q1639820,International Association of Geodesy,constituent association of the International Union of Geodesy and Geophysics
Q16531299,Development Bank of the Central African States,
Q1657077,Women's International Zionist Organization,organization
Q166110,Union State,supranational entity consisting of the Russian Federation and the Republic of Belarus
Q1665196,World Federation for Chess Composition,
Q166546,European Free Trade Association,regional trade organization and free trade area
Q1665759,Inter-American Defense Board,international committee
Q1666347,World Obesity Federation,"nonprofit organization in London, United Kingdom"
Q1666462,International Conference for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use,
Q1666533,International Federation of Air Line Pilots' Associations,worldwide association of national pilots' associations
Q1666544,Graduate Women International,International Federation of University Women
Q1666741,International Maritime Rescue Federation,global organization that unites and represents the world's operational marine rescue services
