WikidataID,itemLabel,sitelinks
Q352378,AF,6
Q352378,The Adaptation Fund,6
Q356694,CTBTO,11
Q359094,GAW,7
Q369760,EN,14
Q369760,European Nuclear Energy Agency,14
Q369760,OECD Nuclear Energy Agency,14
Q380340,Black Sea Economic Cooperation Zone,45
Q380340,BSEC,45
Q383924,AfricaRice,9
Q383924,West Africa Rice Development Associatio,9
Q388314,UIC,35
Q388314,Union internationale des chemins de fer,35
Q392770,OECS,23
Q453851,Women International Democratic Federation,17
Q485207,SCO,77
Q457528,Aspen Institute Campus,10
Q457528,Aspen Institute of Humanistic Studies,10
Q457528,The Aspen Institute,10
Q461736,Club de Paris,40
Q466807,American Documentation Institute,4
Q466807,American Society for Information Science,4
Q466807,American Society for Information Science and Technology,4
Q466807,ASIS&T,4
Q477328,G77,40
Q488981,EBRD,50
Q492442,UNU,35
Q492442,Kokusairengōdaigaku,35
Q492442,"United Nations University, UNU",35
Q496967,AOSIS,16
Q511252,IFBB,24
Q511252,International Federation of BodyBuilding and Fitness,24
Q511645,Association of European Public Postal Operators,9
Q521227,OCCAR,8
Q574863,Anarchist International,10
Q871511,SPC,19
Q871511,Secretariat of the Pacific Community,19
Q871511,South Pacific Commission,19
Q872148,World Catholic Association for Communication,7
Q899770,ICSID,27
Q922158,UN mediation of Kashmir,16
Q922158,UNMOGIP,16
Q935345,YFJ,11
Q941157,NAMSA,8
Q942284,LWF,30
Q943105,RG,22
Q943105,The Rio Group,22
Q947379,FOCAC,12
Q951292,International Federation of Catholic Parochial Youth Movements,19
Q994643,FACE,7
Q996269,Deutsche Knochenmarkspenderdatei,4
Q996269,Deutsche Knochenmarkspenderdatei gemeinnützige,4
Q1010514,International Exhibitions Bureau,26
Q579663,IUGS,28
Q580933,NAFO,8
Q596850,OTS,47
Q596850,CCTS,47
Q596850,Turkic Council,47
Q596850,Turkish Council,47
Q1031074,Camphill,16
Q1043527,MIGA,27
Q1046722,I.W.W.,32
Q1046722,"Industrial Workers of the World, IWW",32
Q1046722,IWW,32
Q1046722,Wobblies,32
Q619504,Red International of Labor Unions,18
Q624372,Football Against Racism in Europe,7
Q659012,ECE,29
Q659012,UNECE,29
Q1072120,MTCR,18
Q1127581,CERL,7
Q1134425,World Youth Service And Enterprise,6
Q596850,Cooperation Council of Turkic Speaking States,47
Q599328,International Workers League (Fourth International),8
Q599328,IWLfi,8
Q599328,LIT-CI,8
Q599328,LIT-QI,8
Q599328,LITci,8
Q600508,IPSA,11
Q602399,ACTO,15
Q602399,OTCA,15
Q607269,International Federation of Film Producers Associations,26
Q607301,ALADI,24
Q668205,WANO,8
Q673158,The Wassenaar Arrangement on Export Controls for Conventional Arms and Dual-Use Goods and Technologies,21
Q677691,ICLEI,11
Q677691,International Council for Local Environmental Initiatives,11
Q688592,GAVI Alliance,18
Q688592,"Gavi, the Vaccine Alliance",18
Q688592,Global Alliance for Vaccines and Immunisation,18
Q689768,PeaceWomen,25
Q689768,Internationale Frauenliga für Frieden und Freiheit,25
Q689768,Ligue Internationale des Femmes pour la Pais et la Liberte,25
Q689768,Schweizer Zentralstelle für Friedensarbeit,25
Q689768,WILPF,25
Q689768,Womens International League for Peace and Freedom,25
Q1142901,ESCAP,28
Q1142901,UN Economic and Social Commission for Asia and the Pacific,28
Q1144508,ECA,26
Q1144508,UN Economic Commission for Africa,26
Q1144508,UNECA,26
Q1153087,IDB,23
Q1163697,Permanent International Association of Road Congresses,5
Q1163697,PIARC,5
Q1165433,C.LINK,4
Q1165433,MoCA,4
Q1170531,IPI,15
Q695186,MINURSO,20
Q695267,EMBL,19
Q698099,Four Powers,29
Q698099,Allied Control Authority,29
Q1352600,IARU,17
Q1354096,IGF,13
Q1354497,WPC,27
Q1355485,Economic and Social Commission for Western Asia,11
Q1355485,UN ESCWA,11
Q1376465,ECHO,3
Q1376533,EDRi,13
Q1376554,EFNYO,2
Q1376816,ENFSI,1
Q1377616,ECAC,14
Q1387979,Federation Dentaire Internationale World Dental Federation,5
Q1052077,OAPEC,24
Q1067053,GAISF,26
Q1067053,Sportaccord,26
Q1856835,HO Regional Office for the Americas,11
Q1939300,Rat für deutsche Rechtschreibung,13
Q1939300,Rechtschreibrat,13
Q1971799,UNAVEM III,12
Q1993710,International Organization of Turkic Culture - TÜRKSOY,38
Q1993710,TÜRKSOY,38
Q2001993,UNPREDEP,11
Q1666544,FIFDU,8
Q1666544,Graduate Women International,8
Q1666544,IFUW,8
Q1666741,IMRF,3
Q1666741,International Lifeboat Federation,3
Q1666759,IMSO,11
Q1666817,IPC,2
Q1666905,ISKO,6
Q1667048,International Workers Aid,7
Q1667326,ICCO,6
Q1667509,IASA,4
Q1697014,Club Leo Program,17
Q1697014,Leo Club,17
Q1697014,Leo Clube,17
Q1709362,CAT,8
Q1711776,IFAT,6
Q1711776,International Federation of Alternative Traders,6
Q1711776,WFTO,6
Q1766099,International Agricultural Institute,8
Q1787062,Sámiráđđi,14
Q852242,Collegium Cardinalium,41
Q1201831,Deutsch-Polnisches Jugendwerk,3
Q1201831,Polsko-Niemiecka Współpraca Młodzieży,3
Q1210996,AAI,28
Q1216793,CICO,1
Q1264411,FUIW,18
Q1264411,ICESCO,18
Q1264411,Islamic Educational Scientific and Cultural Organization,18
Q1264411,Islamic World Educational Scientific and Cultural Organization,18
Q1264411,"Islamic World Educational, Scientific and Cultural Organization",18
Q1331152,OGP,12
Q1331152,opengovpartnership.org,12
Q1334284,IFLA,30
Q1337904,ITF,5
Q1350403,SEDS,6
Q1407987,IBS,2
Q1414657,The Global Fund,15
Q1425247,ISSC,8
Q1428532,UNDOF,21
Q1428922,IARIW,1
Q1443204,WBU,5
Q1443204,The World Blind Union,5
Q1457461,UNOMIL,11
Q1474730,IHFFC,6
Q1480793,NSG,19
Q701642,WUC,25
Q718728,Saami Parliamentary Council,4
Q734704,FIAV,22
Q735279,CODATA,32
Q740384,TICCIH,9
Q748999,WFTU,24
Q757276,PIF,30
Q757276,South Pacific Forum,30
Q757276,SPF,30
Q2328638,EGF,9
Q2434028,ANC,5
