WikidataID,itemLabel,en_description,sitelinks
Q858494,International Council of Societies of Industrial Design,international organization,7
Q866996,Group of States Against Corruption,,13
Q871511,Pacific Community,principal scientific and technical organization in the Pacific region,19
Q872148,SIGNIS,Roman Catholic ecclesial movement,7
Q899770,International Centre for Settlement of Investment Disputes,international organization,27
Q902208,World Congress of Finno-Ugric Peoples,,12
Q911204,Danube Commission,organization,14
Q922158,United Nations Military Observer Group in India and Pakistan,United Nations Observer Mission,16
Q922554,International Trade Organization,Proposed international institution,11
Q935345,European Youth Forum,platform of the national youth councils and international non-governmental youth organizations in Europe,11
Q941157,NATO Maintenance and Supply Agency,,8
Q942284,Lutheran World Federation,global communion of national and regional Lutheran churches,30
Q943105,Rio Group,,22
Q947379,Forum on China–Africa Cooperation,international forum,12
Q948485,TECHO,international organization,4
Q951292,Fimcap,international organization,19
Q958590,Japan International Cooperation Agency,,19
Q971023,World Federation of Diamond Bourses,,4
Q994643,Federation of Associations for Hunting and Conservation of the EU,Hunting federation of the European Union,7
Q996269,DKMS,German charity,4
Q1010514,Bureau of International Expositions,international organization,26
Q1023742,Intergovernmental Council of Copper Exporting Countries,,7
Q1031074,Camphill Movement,Special education,16
Q1043527,Multilateral Investment Guarantee Agency,International financial institution,27
Q1046722,Industrial Workers of the World,international union founded in 1905,32
Q1052077,Organization of Arab Petroleum Exporting Countries,,24
Q1067053,Global Association of International Sports Federations,international sports organization,26
Q1072120,Missile Technology Control Regime,multilateral export control regime to prevent the proliferation of missile and unmanned aerial vehicle technology,18
Q1110733,World Council for Psychotherapy,international organization,2
Q1114688,International Commission against Impunity in Guatemala,,5
Q1127581,Consortium of European Research Libraries,consortium,7
Q1134020,IMS Global,,7
Q1134425,WYSE International,a worldwide educational charity specialising in the education and development of emerging leaders,6
Q1136518,Friends of Israel Initiative,international organization,5
Q1142430,International Accounting Standards Board,international organization,20
Q1142901,United Nations Economic and Social Commission for Asia and the Pacific,organization,28
Q1144508,United Nations Economic Commission for Africa,organization,26
Q1153045,Junior Achievement,international non-profit youth organization founded in 1919,15
Q1153087,Inter-American Development Bank,international organization,23
Q1163697,World Road Association,organization,5
Q1165433,Multimedia over Coax Alliance,,4
Q1170531,International Press Institute,global organization dedicated to the promotion and protection of press freedom,15
Q1188444,South-East European Cooperation Process,,10
Q1201831,German-Polish Youth Office,,3
Q1210996,Atheist Alliance International,International Organization,28
Q1216793,Conference of International Catholic Organizations,,1
Q1232756,Offshore Racing Congress,,3
Q1251615,Congress of the Council of Europe,international organization,14
Q1257033,Professional Windsurfers Association,,3
Q1258876,International Accounting Standards Committee,international organization,11
Q1264411,"Islamic world Educational, Scientific and Cultural Organization",one of the largest international Islamic organizations,18
Q1282229,National numbering agency,international organization,2
Q1317513,European Competition Network,Network of competition agencies active in the European Union,4
Q1331152,Open Government Partnership,international organization,12
Q1331783,Economic Community of the Great Lakes Countries,,6
Q1334284,International Federation of Library Associations and Institutions,organization of libraries,30
Q1337904,International Transport Forum,OECD inter-governmental organization,5
Q1350403,Students for the Exploration and Development of Space,organization,6
Q1352600,International Amateur Radio Union,organization,17
Q1354096,Internet Governance Forum,multistakeholder governance group for policy dialogue on issues of Internet governance,13
Q1354497,World Peace Council,international disarmament organization,27
Q1355485,United Nations Economic and Social Commission for Western Asia,organization,11
Q1376465,European Concert Hall Organisation,organization in Europe,3
Q1376533,European Digital Rights,advocacy group,13
Q1376554,European Federation of National Youth Orchestras,organization,2
Q1376562,European Federation of Pharmaceutical Industries and Associations,,4
Q1376816,European Network of Forensic Science Institutes,,1
Q1377440,European Northern Observatory,,8
Q1377482,Conférence européenne des horaires des trains de voyageurs. Session technique,,1
Q1377616,European Civil Aviation Conference,international organization,14
Q1378028,European Atomic Forum,,5
Q1386947,International Council for Ski Mountaineering Competitions,international organization,2
Q1387979,FDI World Dental Federation,international organization,5
Q1388484,FIDIC,,14
Q1405327,Chamber of Local Authorities,international organization,8
Q1405942,Socialist Equality Party,Wikimedia disambiguation page,4
Q1407987,International Brecht Society,society to encourage and promote the study and performance of the work of German dramatist Bertolt Brecht,2
Q1414657,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",international organization,15
Q1425247,International Social Science Council,organization,8
Q1428532,United Nations Disengagement Observer Force,agency overseeing Israeli–Syrian ceasefire,21
Q1428922,International Association for Research in Income and Wealth,,1
Q1443204,World Blind Union,,5
Q1457461,United Nations Observer Mission in Liberia,a peacekeeping force established in September 2003 to monitor a ceasefire agreement in Liberia,11
Q1464550,Friends World Committee for Consultation,,3
Q1473527,National Religious Broadcasters,organization,2
Q1474730,International Humanitarian Fact-Finding Commission,international body that is available to perform investigations of possible breaches of international humanitarian law,6
Q1480793,Nuclear Suppliers Group,intergovernmental organization,19
Q1484641,GASCO,international organization,1
Q1488178,World Body Painting Association,international organization,2
Q1500985,Community for Democracy and Rights of Nations,organization of unrecognized states,20
Q1501333,Q1501333,international organization,1
Q1501406,Committe of Non-Intervention,,8
Q1506755,World Association of Chefs Societies,organization,5
Q1508185,International Geodetic Student Organisation,organization,12
Q1529365,Kidney Disease: Improving Global Outcomes,international nonprofit organization,1
Q1531570,Global Biodiversity Information Facility,aggregator of scientific data on biodiversity; data portal,36
