WikidataID,itemLabel,sitelinks
Q108418,Crook County,53
Q108418,"Cook County, Illinois",53
Q108798,"Adams County, Illinois",47
Q108851,"Alexander County, IL",46
Q108851,"Alexander County, Illinois",46
Q109518,"Bureau County, Illinois",46
Q109526,"Bond County, Illinois",45
Q109626,Du Page County,48
Q109626,"Du Page County, Illinois",48
Q109626,"DuPage County, Illinois",48
Q109626,"Du Page County, IL",48
Q109626,"DuPage County, IL",48
Q109756,"Boone County, Illinois",46
Q109761,"Brown County, Illinois",44
Q110187,"Champaign County, Illinois",47
Q110325,"Douglas County, Illinois",44
Q110417,"Clay County, Illinois",45
Q110482,"Emmet County, Iowa",42
Q110510,"Crawford County, Illinois",43
Q110516,"Cass County, Illinois",44
Q110532,"Clark County, Illinois",44
Q110539,"Cumberland County, Illinois",45
Q110555,"Clinton County, Illinois",45
Q110561,"Effingham County, Illinois",44
Q110606,"Winnebago County, Illinois",42
Q110680,"Dallas County, Iowa",43
Q110764,"King County, Texas",45
Q110768,"Adams County, Iowa",42
Q110773,"Rusk County, Texas",46
Q110779,"Parker County, Texas",46
Q110904,"Harrison County, Texas",45
Q110978,"Kent County, Texas",45
Q110983,"Kinney County, Texas",46
Q111168,"Dallas County, Texas",53
Q111174,"Collin County, Texas",50
Q111235,"Boone County, Iowa",42
Q111316,"Wise County, Texas",45
Q111368,"McLennan County, Texas",46
Q111374,"Mason County, Texas",45
Q111380,"Howard County, Texas",45
Q111385,"Karnes County, Texas",46
Q111391,"Rockwall County, Texas",46
Q111400,"McLean County, Illinois",42
Q111530,"Calhoun County, Iowa",42
Q111584,"Fayette County, Illinois",45
Q111593,"Fannin County, Texas",46
Q111613,De Kalb County,44
Q111613,"De Kalb County, Illinois",44
Q111613,"DeKalb County, Illinois",44
Q111622,"Hale County, Texas",46
Q111633,"Calhoun County, Illinois",46
Q111647,"Collingsworth County, Texas",46
Q111663,"Garza County, Texas",46
Q111672,De Witt County,44
Q111672,"DeWitt County, Illinois",44
Q111686,"Christian County, Illinois",44
Q111709,"Christian County, Kentucky",42
Q111729,"Hunt County, Texas",48
Q111744,"San Jacinto County, Texas",44
Q111753,"Jim Wells County, Texas",45
Q111759,"Scurry County, Texas",45
Q111766,"Wheeler County, Texas",45
Q111782,"Upshur County, Texas",46
Q111790,"Lubbock County, Texas",45
Q111821,"Menard County, Texas",45
Q111844,"Somervell County, Texas",46
Q111851,"Reagan County, Texas",45
Q111859,"Allamakee County, Iowa",42
Q111876,"Cherokee County, Iowa",42
Q111886,"Benton County, Iowa",43
Q111913,"Audubon County, Iowa",42
Q111921,"Appanoose County, Iowa",42
Q111936,"Clinton County, Iowa",42
