WikidataID,itemLabel,en_description,sitelinks
Q110764,King County,"county in Texas, United States",45
Q110773,Rusk County,"county in Texas, United States",46
Q110779,Parker County,"county in Texas, United States",46
Q110904,Harrison County,"county in Texas, United States",45
Q110978,Kent County,"county in Texas, United States",45
Q110983,Kinney County,"county in Texas, United States",46
Q111168,Dallas County,"county in Texas, United States",53
Q111174,Collin County,"county in Texas, United States",50
Q111316,Wise County,"county in Texas, United States",45
Q111368,McLennan County,"county in Texas, United States",46
Q111374,Mason County,"county in Texas, United States",45
Q111380,Howard County,"county in Texas, United States",45
Q111385,Karnes County,"county in Texas, United States",46
Q111391,Rockwall County,"county in Texas, United States",46
Q111593,Fannin County,"county in Texas, United States",46
Q111622,Hale County,"county in Texas, United States",46
Q111647,Collingsworth County,"county in Texas, United States",46
Q111663,Garza County,"county in Texas, United States",46
Q111729,Hunt County,"county in Texas, United States",48
Q111744,San Jacinto County,"county in Texas, United States",44
Q111753,Jim Wells County,"county in Texas, United States",45
Q111759,Scurry County,"county in Texas, United States",45
Q111766,Wheeler County,"county in Texas, United States",45
Q111782,Upshur County,"county in Texas, United States",46
Q111790,Lubbock County,"county in Texas, United States",45
Q111821,Menard County,"county in Texas, United States",45
Q111844,Somervell County,"county in Texas, United States",46
Q111851,Reagan County,"county in Texas, United States",45
Q112078,Hemphill County,"county in Texas, United States",45
Q112086,Randall County,"county in Texas, United States",45
Q112115,Hopkins County,"county in Texas, United States",45
Q112125,Marion County,"county in Texas, United States",45
Q112149,McCulloch County,"county in Texas, United States",45
Q112442,Mitchell County,"county in Texas, United States",45
Q112526,Oldham County,"county in Texas, United States",45
Q112550,Reeves County,"county in Texas, United States",47
Q112565,Newton County,"county in Texas, United States",45
Q112584,Lipscomb County,"county in Texas, United States",46
Q112603,Navarro County,"county in Texas, United States",45
Q112619,Yoakum County,"county in Texas, United States",45
Q112634,Runnels County,"county in Texas, United States",44
Q112652,Wood County,"county in Texas, United States",46
Q112673,Jack County,"county in Texas, United States",45
Q112686,Williamson County,"county in Texas, United States",45
Q112698,Rains County,"county in Texas, United States",44
Q112714,Hartley County,"county in Texas, United States",45
Q112768,Haskell County,"county in Texas, United States",45
Q112781,Lamb County,"county in Texas, United States",45
Q112793,Henderson County,"county in Texas, United States",47
Q112882,Swisher County,"county in Texas, United States",45
Q113096,Titus County,"county in Texas, United States",44
Q113117,Madison County,"county in Texas, United States",45
Q113132,San Patricio County,"county in Texas, United States",45
Q113293,Potter County,"county in Texas, United States",45
Q113313,Lamar County,"county in Texas, United States",45
Q113375,Polk County,"county in Texas, United States",45
Q113396,Tom Green County,"county in Texas, United States",46
Q113834,Van Zandt County,"county in Texas, United States",43
Q113843,Johnson County,"county in Texas, United States",46
Q113854,Throckmorton County,"county in Texas, United States",45
Q113864,Terry County,"county in Texas, United States",45
Q113906,Stonewall County,"county in Texas, United States",45
Q113919,Lampasas County,"county in Texas, United States",46
Q113940,Upton County,"county in Texas, United States",46
Q113962,Presidio County,"county in Texas, United States",46
Q113984,Maverick County,"county in Texas, United States",46
Q114026,Nolan County,"county in Texas, United States",46
Q114043,Live Oak County,"county in Texas, United States",46
Q114301,Ward County,"county in Texas, United States",44
Q114323,Lynn County,"county in Texas, United States",45
Q114339,Wilbarger County,"county in Texas, United States",45
Q114423,Sherman County,"county in Texas, United States",45
Q114445,Roberts County,"county in Texas, United States",46
Q114459,Pecos County,"county in Texas, United States",45
Q114479,Winkler County,"county in Texas, United States",46
Q114503,Willacy County,"county in Texas, United States",45
Q114529,Stephens County,"county in Texas, United States",45
Q114550,Shackelford County,"county in Texas, United States",46
Q115428,Kendall County,"county in Texas, United States",45
Q115433,Wichita County,"county in Texas, United States",45
Q156270,Eastland County,"county in Texas, United States",46
Q156278,Smith County,"county in Texas, United States",45
Q156380,Panola County,"county in Texas, United States",44
Q156388,Morris County,"county in Texas, United States",45
Q156440,La Salle County,"county in Texas, United States",45
Q156444,Washington County,"county in Texas, United States",46
Q156455,Nacogdoches County,"county in Texas, United States",45
Q156463,Mills County,"county in Texas, United States",45
Q156464,Moore County,"county in Texas, United States",46
Q156471,Jefferson County,"county in Texas, United States",46
Q156479,Wilson County,"county in Texas, United States",45
Q156496,Houston County,"county in Texas, United States",46
Q156582,Irion County,"county in Texas, United States",46
Q156613,Young County,"county in Texas, United States",44
Q156618,Sterling County,"county in Texas, United States",45
Q279452,Jim Hogg County,"county in Texas, United States",45
Q483847,Hockley County,"county in Texas, United States",45
Q483888,Motley County,"county in Texas, United States",45
Q483893,Nueces County,"county in Texas, United States",47
Q483895,Jones County,"county in Texas, United States",46
Q400757,Daviess County,"county in Kentucky, United States",43
Q473605,Taylor County,"county in Kentucky, United States",41
Q486048,Clark County,"county in Kentucky, United States",43
Q486060,Bath County,"county in Kentucky, United States",43
Q486067,Allen County,"county in Kentucky, United States",44
Q486071,Estill County,"county in Kentucky, United States",42
Q486075,Butler County,"county in Kentucky, United States",43
Q486081,Barren County,"county in Kentucky, United States",44
Q486087,Green County,"county in Kentucky, United States",42
Q486095,Carter County,"county in Kentucky, United States",43
Q486099,Anderson County,"county in Kentucky, United States",42
Q486105,Bourbon County,"county in Kentucky, United States",42
Q486920,Boyle County,"county in Kentucky, United States",44
Q491108,Jessamine County,"county in Kentucky, United States",42
Q491112,Mason County,"county in Kentucky, United States",43
Q491116,Powell County,"county in Kentucky, United States",42
