WikidataID,itemLabel,sitelinks
Q501542,Department of Agriculture,42
Q501542,USDA,42
Q501542,U.S. Department of Agriculture,42
Q501542,U. S. Department of Agriculture,42
Q501542,Agriculture Department,42
Q742787,DON,20
Q742787,Navy Department,20
Q742787,Department of the Navy,20
Q742787,United States Navy Department,20
Q938783,NM Corrections Department,2
Q938783,NMCD,2
Q942326,HHS,35
Q942326,Department of Health and Human Services,35
Q942326,DHHS,35
Q942326,U.S. Department of Health and Human Services,35
Q942326,US Department of Health and Human Services,35
Q1519761,HEW,6
Q1519761,"Department of Health, Education, and Welfare",6
Q1519761,"US Department of Health, Education, and Welfare",6
Q1519761,US H.E.W.,6
Q1553390,Department of Justice,48
Q1553390,DOJ,48
Q1553390,Justice Department,48
Q1553390,U.S. Department of Justice,48
Q1553390,U.S. DOJ,48
Q1553390,United States Justice Department,48
Q1553390,USDOJ,48
Q1553390,justice.gov,48
Q1754777,USIA,17
Q1754777,United States Information Service,17
Q2963308,Chicago FD,5
Q2963308,Fire Department of the City of Chicago,5
Q3708607,Departamento de Transportación y Obras Públicas de Puerto Rico,3
Q3708607,Puerto Rico Departamento de Transportación y Obras Públicas,3
Q3819598,TDCJ,4
Q4705244,ADOC,2
Q4708525,ADOC,2
Q4791291,ADC,2
Q4791291,ADCRR,2
Q4791291,"Arizona Department of Corrections, Rehabilitation & Reentry",2
Q5020425,California Department of Agriculture,4
Q5020425,CDFA,4
Q5020429,CA DOJ,1
Q5020429,CAL DOJ,1
Q5283416,D.C. FEMS,4
Q5283416,D.C. Fire,4
Q5283416,D.C. Fire & EMS,4
Q5283416,D.C. Fire and EMS,4
Q5283416,DC FEMS,4
Q5283416,DC Fire,4
Q5283416,DC Fire & EMS,4
Q5283416,DC Fire and EMS,4
Q5283416,DCFD,4
Q5461316,Department of Corrections Florida,3
Q5987349,IDOC,1
Q5999423,IDOC,1
Q6158155,Consulate-General of Japan in Houston,4
Q6377960,DOCCS,4
Q15229227,Consulate-General of Japan in Detroit,2
Q15733936,San José Fire Department,2
Q15733936,SJFD,2
Q16247094,"Canadian Consulate-General, Chicago",1
Q16247094,Canadian Consulate General in Chicago,1
Q16247094,"Canadian Consulate General, Chicago",1
Q16247094,Consulate General of Canada in Chicago,1
Q16252987,HFD,1
Q16953633,BMFD,2
Q16987386,CFD,1
Q16987386,Cincinnati Division of Fire,1
Q19854368,Chinese Consulate General in Chicago,2
Q19854368,"Chinese Consulate General, Chicago",2
Q19854368,Consulate General of China in Chicago,2
Q19854368,"Consulate General of the People's Republic of China, Chicago",2
Q20050604,SCCFD,2
Q20688008,"Consulate-General of China, San Francisco",2
Q24060908,Maryland Department of Health and Mental Hygiene,1
Q28447583,Toledo Fire Department,1
Q28719616,Norwegian Consulate General in San Francisco,1
Q30283743,WSDA,1
Q49166337,Norwegian Consulate General in Houston,2
Q49166337,"Norwegian Consulate General, Houston",2
Q49167127,Norwegian Consulate General in New York,0
Q56042493,Consulate-General of Japan in Agana,2
Q56042493,Consulate-General of Japan in Hagatna,2
Q56042493,"Consulate-General of Japan, Agana",2
Q56337517,Consulate General of the Republic of Poland in Houston,1
Q59290382,British consulate in Miami,0
Q59290382,"British consulate, Miami",0
Q59290384,British consulate in New York City,0
Q59290384,"British consulate, New York City",0
Q67223790,Consulate of El Salvador in San Francisco,0
Q100701177,SFHD,0
Q109938842,San Jose Department of Public Works,0
Q109938842,San José Department of Public Works,0
Q109938842,San José Public Works Department,0
Q110252269,DOTE,0
Q110252269,CDOTE,0
Q110252269,Department of Transportation and Engineering,0
Q6682079,LA Public Health,2
Q6682079,Los Angeles County Public Health,2
Q6682079,Los Angeles Public Health,2
Q6781312,DPSCS,1
Q6781312,Maryland Department of Public Safety & Correctional Services,1
Q6879129,MDOC,2
Q6879551,MODOC,2
Q6905696,MCFRS,2
Q6905696,"Montgomery Co., Md. Dept. of Fire & Rescue Services",2
Q6905696,Montgomery County (Md.). Department of Fire & Rescue Services,2
Q6905696,Montgomery County (Md.). Dept. of Fire & Rescue Services,2
Q6905696,Montgomery County Department of Fire and Rescue Services,2
Q6905696,Montgomery County Fire & Rescue Services,2
Q6905696,Montgomery County Fire and Rescue Service,2
Q7003434,Nevada Gaming Commission and State Gaming Control Board,3
Q7003434,Nevada State Gaming Control Board,3
Q7010176,New Mexico Health Department,1
Q7010176,NMDOH,1
Q7014077,NYS DOH,1
Q7014077,NYSDOH,1
Q7054475,North Carolina Department of Human Resources,2
Q7082191,DOC,1
Q7082191,ODOC,1
Q7163705,PADOC,2
Q7209893,"Polish Consulate General, Chicago",3
Q7209893,Consulate General of the Republic of Poland in Chicago,3
Q7209895,"Polish Consulate General, New York",4
Q7244001,PGFD,1
Q7413670,SDFD,3
Q7414030,SFFD,4
Q7589619,STLFD,1
Q7884928,UFA,2
Q7902343,DOC,2
Q7986844,West Virginia Division of Corrections and Rehabilitation,1
Q137245,"Ambassade du Canada aux États-Unis à Washington, D.C.",9
Q137245,"Canadian Chancery, Washington, D.C.",9
Q137245,"Canadian Embassy, Washington, D.C.",9
Q137245,"Embassy of Canada in Washington, D.C",9
Q137245,Embassy of Canada to the United States,9
Q137245,"Embassy of Canada to the United States, in Washington, D.C.",9
Q137245,"Embassy of Canada, Washington",9
Q427818,NRO,29
Q431120,OICI,7
Q612276,DIA,28
Q622899,DEA,41
Q622899,"Drug Enforcement Administration, Department of Justice",41
Q643524,DIS,5
Q643524,DCSA,5
Q643524,Defense Investigative Service,5
Q643524,Defense Security Service,5
Q643524,DSS,5
Q646899,SMDC,7
Q646899,U.S. Army Space and Missile Defense Command,7
Q646899,USASMDC,7
Q658626,O.S.S.,31
Q658626,OSS,31
Q674113,Fish and Wildlife Service,29
Q674113,U.S. Fish & Wildlife Service,29
Q674113,U.S. Fish and Wildlife Service,29
Q674113,USFWS,29
Q746186,OSHA,15
Q746186,United States Occupational Safety and Health Administration,15
Q749381,"Defence Threat Reduction Agency, DTRA",7
Q749381,DTRA,7
Q834166,NNSA,10
Q834166,Nuclear Security Administration,10
Q843327,DLA,8
Q852211,Department of Transportation,31
Q852211,DOT,31
Q852211,U.S. Department of Transportation,31
Q852211,USDOT,31
Q861855,NASS,5
Q867686,New Jersey Highway Authority,2
Q900525,OPIC,6
Q908666,Port Authority,22
Q908666,PANY,22
Q908666,PANYNJ,22
Q908666,Port of New York Authority,22
Q908666,The Port Authority,22
Q908666,The Port Authority of New York and New Jersey,22
Q918528,ECA,6
Q967276,LPC,9
Q967276,Landmarks Preservation Commission (New York City),9
Q967276,NYC Landmarks Preservation Commission,9
Q1010540,"Bureau of Ocean Energy Management, Regulation and Enforcement",6
Q1010540,MMS,6
Q1010548,Bureau of Reclamation,8
Q1010548,U.S. Bureau of Reclamation,8
Q1010548,United States Reclamation Service,8
Q1010548,USBR,8
Q1010549,BuShips,4
Q1026794,ARB,5
Q1026794,CARB,5
Q1034699,United States Capitol Police Board,3
Q1057860,NYSP,7
Q1058767,DOT,10
Q1058767,NYC DOT,10
Q1058767,NYCDOT,10
Q1063818,ONR,8
Q1092234,CSR,1
Q1092234,Cincinnati Southern Railroad,1
Q1137023,CEA,20
Q1137023,United States Council of Economic Advisers,20
Q1137023,USCEA,20
Q1137074,CIC,10
Q1137074,Counter Intelligence Corps,10
Q1153779,NCC,13
Q1153779,NCTC,13
Q1153779,Counterterrorism Center,13
Q1182613,DeCA,7
Q1182613,United States Defense Commissary Agency,7
Q1266735,NEIC,2
Q1267104,Bureau of Prohibition,6
