WikidataID,itemLabel,en_description,sitelinks
Q501542,United States Department of Agriculture,"department of United States government responsible policy on farming, agriculture, forestry, and food",42
Q2963308,Chicago Fire Department,"fire department of the city of Chicago, Illinois, United States",5
Q3122786,Los Angeles City Fire Department,fire department in los angeles,11
Q4294683,Puerto Rico Department of Agriculture,agriculture ministry of Puerto Rico,2
Q4750879,Anaheim Fire Department,agency,1
Q4792309,Arlington County Fire Department,"county wide fire district in Arlington County, Virginia",1
Q4823080,Austin Fire Department,,2
Q4849298,Bakersfield Fire Department,,2
Q4852814,Baltimore City Fire Department,fire department in the United States,1
Q4861953,Barnstable Fire Department,,0
Q4883931,Bellevue Fire Department,,1
Q4914245,Binghamton Fire Department,,1
Q4944537,Border City Fire Department,,0
Q4948574,Botetourt County Emergency Services,,1
Q4959084,Brea Fire Department,,1
Q4968732,"Bristol, Connecticut Fire Department",,1
Q4985722,Buffalo Fire Department,"Fire department for Buffalo, NY",1
Q5020425,California Department of Food and Agriculture,cabinet-level agency in the government of California,4
Q5024244,Calvert County Fire-Rescue-EMS,"volunteer emergency services in Maryland, USA",1
Q5068067,Chaires-Capitola Volunteer Fire Department,,1
Q5100324,Chincoteague Fire Department,,1
Q5123625,City of Charleston Fire Department,,1
Q5127186,Clark County Fire Department,,3
Q5146512,College Park Volunteer Fire Department,,1
Q5149688,Columbia Fire Department,,1
Q5174844,Costa Mesa Fire Department,,1
Q5197276,Cy-Fair Volunteer Fire Department,"volunteer fire department in Harris County, Texas",1
Q5283416,District of Columbia Fire and Emergency Medical Services Department,"fire department in the District of Columbia, in the United States",4
Q5328948,East Meadow Fire Department,,1
Q5330932,Eastside Fire and Rescue,,1
Q5430160,Fairfax County Fire and Rescue Department,,1
Q5462034,Flourtown Fire Company,,0
Q5471468,Fort Lauderdale Fire-Rescue,,1
Q5508290,Fullerton Fire Department,,1
Q5569407,Glenville Fire Department,,0
Q5599876,Great River Fire Department,,1
Q5621865,Los Angeles County Fire Department,fire department protecting unincorporated parts of Los Angeles County and 58 incorporated cities under contract,6
Q5945263,Huntington Beach Fire Department,,1
Q5952765,Hyannis Fire Department,,0
Q5999421,Illinois Department of Agriculture,,1
Q6023848,Indianapolis Fire Department,"principal fire suppression, prevention, and rescue agency of Indianapolis, Indiana",2
Q6184781,Jersey City Fire Department,"fire protection service in Jersey City, New Jersey",2
Q6364764,Kansas City Fire Department,,1
Q6364956,Kansas Department of Agriculture,,1
Q6394116,Kern County Fire Department,,2
Q6492570,Las Vegas Fire & Rescue,,1
Q6658234,Livermore-Pleasanton Fire Department,,1
Q6672291,Long Beach Fire Department,"The fire department for Long Beach, New York",1
Q6686031,Loudoun County Fire and Rescue Department,,2
Q6689471,Louisville Division of Fire,known as Louisville Fire & Rescue,1
Q6693200,Lowell Fire Department,"fire department in Lowell, Massachusetts",2
Q6781302,Maryland Department of Agriculture,,1
Q6817151,Menlo Park Fire Department,,0
Q6820316,Merrionette Park Fire Department,,1
Q6825313,Metropolitan Washington Airports Authority Fire and Rescue Department,,1
Q6827314,Miami Fire Department,,1
Q6840681,Mid-Columbia Fire and Rescue,emergency services provider in Oregon,1
Q6861740,Milwaukee Fire Department,,1
Q6867982,Minneapolis Fire Department,,1
Q6905696,Montgomery County Fire & Rescue Service,"public safety agency that provides fire protection and emergency medical services for Montgomery County, Maryland, U.S.",2
Q7010719,New Orleans Fire Department,,1
Q7016692,Newark Fire Department,,1
Q7053189,Noroton Heights Fire Department,,0
Q7055004,North Dakota Department of Agriculture,,1
Q7073998,Oakland Fire Department,,1
Q7099566,Orange County Fire Authority,"The fire department for Orange County, California",2
Q7099567,Orange County Fire Rescue,"fire department in Florida, US",1
Q7099617,Orange Fire Department,"Provides fire protection and emergency medical services for the city of Orange, California",1
Q7101163,Oregon Department of Agriculture,,1
Q7127981,Palm Beach County Fire-Rescue,,1
Q7141570,Pasadena Volunteer Fire Department,,1
Q7163701,Pennsylvania Department of Agriculture,,1
Q7182680,Philadelphia Fire Department,,2
Q7235395,Pottstown Fire Department,,0
Q7244001,Prince George's County Fire/EMS Department,"provider of fire prevention, fire protection, emergency medical services, rescue services",1
Q7252417,Providence Fire Department,,1
Q7286916,Raleigh Fire Department,,1
Q7330824,Richmond Fire Department,emergency services provider in California,1
Q7338492,Riverside Fire Department,,2
Q7396979,Sacramento Fire Department,,1
Q7413670,San Diego Fire-Rescue Department,"government agency in San Diego, California",3
Q7414030,San Francisco Fire Department,"provides fire and emergency medical services to the City and County of San Francisco, California.",4
Q7415209,San Rafael Fire Department,,1
Q7419883,Santa Rosa Fire Department,fire and emergency services agency,1
Q7442098,Seattle Fire Department,,1
Q7449503,Seminole County Fire Department,,1
Q7488766,Shanksville Volunteer Fire Department,,1
Q7559968,Somerville Fire Department,,1
Q7589619,St. Louis Fire Department,fire department in St. Louis,1
Q7681711,Tampa Fire Department,,1
Q7707628,Texas Department of Agriculture,"state agency of Texas, which is responsible for agriculture and rural community affairs",2
Q7864158,UC Davis Fire Department,,1
Q7884928,Unified Fire Authority,"special district responsible for fire protection and EMS agency located in the Greater Salt Lake Valley, Utah, United States",2
Q7895184,University of California Santa Cruz Fire Department,,0
Q7920374,Ventura County Fire Department,Fire Department,1
