WikidataID,itemLabel,sitelinks
Q61,Washington,274
Q61,D.C.,274
Q61,DC,274
Q61,District of Columbia,274
Q61,Washington D.C.,274
Q61,"Washington, DC",274
Q61,The District,274
Q61,Washington DC,274
Q61,"Washington, District of Columbia",274
Q1822,Baguio City,58
Q1822,"Baguio, Benguet",58
Q1822,City of Baguio,58
Q1842,Luxemburg,154
Q1842,City of Luxembourg,154
Q1842,Luxembourg City,154
Q1848,City of San Marino,125
Q64,"Berlin, Germany",308
Q64,Berlin (Germany),308
Q64,DE-BE,308
Q70,Berne,191
Q70,Berna,191
Q70,city of Bern,191
Q71,Geneve,174
Q71,Genève,174
Q71,Geneva GE,174
Q71,Genf,174
Q84,"London, United Kingdom",321
Q84,"London, England",321
Q84,"London, UK",321
Q84,Modern Babylon,321
Q84,London U.K.,321
Q84,London UK,321
Q85,"Cairo, Egypt",241
Q87,Al Iskandariya,160
Q87,"Alexandria, Egypt",160
Q87,Iskandariyya,160
Q87,Mediterranean's Bride,160
Q87,Pearl of the Mediterranean,160
Q90,Lutetia,333
Q90,"Paris, France",333
Q90,City of Love,333
Q90,City of Light,333
Q1854,Saigon,248
Q1854,Sài Gòn,248
Q1854,HCMC,248
Q1854,Ho Chi Minh,248
Q1854,Sai Gon,248
Q1854,Saïgon,248
Q1854,Thành-Phô Hồ Chí Minh,248
Q1854,Hôchiminh Ville,248
Q1858,Tonkin,186
Q2214,Pihkova,106
Q2214,Pihkva,106
Q2214,Pleskau,106
Q2214,Pleskava,106
Q2214,Pleskov,106
Q2214,Pscovia,106
Q2214,Pskof,106
Q2214,Pskovas,106
Q2214,Pskovo,106
Q2214,Pskow,106
Q2214,Psków,106
Q2214,Pszkov,106
Q2235,Novgorod,114
Q2235,Nowgorod,114
Q2235,Nowgorod-Weliki,114
Q2235,Velikiy Novgorod,114
Q2280,Mińsk,212
Q2280,Mensk,212
Q2280,Miensk,212
Q2280,Minskas,212
Q2280,Менск,212
Q2280,Минск,212
Q2280,Мінск,212
Q2288,Kalinin,103
Q2449,Hamar,157
Q2449,Xamar,157
Q2449,Maqadīshū,157
Q2449,The Seat of the Shah,157
Q2471,Amanat Al Asimah,151
Q2471,Amanat Al-Asemah,151
Q2907,Historic City of Sucre,136
Q2907,Charcas,136
Q2933,Asu,163
Q2933,Asuncion,163
Q2936,Oldenburg (Oldb),89
Q2978,Ratisbo,106
Q2978,Ratisbon,106
Q2999,Kreisfreie Stadt Würzburg,107
Q2999,Wörtzburch,107
Q2999,Wuerzburg,107
Q3037,City of Temples,181
Q3037,Kathmandu Valley,181
Q3688,Capital of Mauritania,143
Q3688,Nawakshut,143
Q3688,Nawākshūṭ,143
Q3688,Nouakchot,143
Q3688,"Nouakchott, Mauritania",143
Q3688,Noukchott,143
Q3688,Nuwākshūṭ,143
Q3711,Beograd,210
Q3711,"Belgrade, Serbia",210
Q3711,City of Belgrade,210
Q3711,Београд,210
Q4100,Baden Baden,94
Q4100,"Baden-Baden, Germany",94
Q4191,Luzern,116
Q4191,Lucerne LU,116
Q4191,"Lucerne, Switzerland",116
Q4803,Solo,66
Q4803,Soerakarta,66
Q4803,Solo City,66
Q5206,Voroshilovsk,93
Q5384,Vyatka,87
