,WikidataID,itemLabel,sitelinks
0,Q76,Obama,325
1,Q76,BHO,325
2,Q76,President Barack Obama,325
3,Q76,Barack,325
4,Q76,Barack H. Obama,325
5,Q76,Barack Hussein Obama,325
6,Q76,Barack Hussein Obama II,325
7,Q76,Barack Obama II,325
8,Q76,Barak Obama,325
9,Q76,Barry Obama,325
10,Q76,President Obama,325
11,Q192,David William Donald Cameron,146
12,Q192,Rt. Hon. David William Donald Cameron,146
13,Q192,Rt Hon David Cameron,146
14,Q206,HE Stephen Harper,104
15,Q206,Stephen Joseph Harper,104
16,Q206,The Right Hon. Stephen Harper,104
17,Q207,Bush,269
18,Q207,Bush 43,269
19,Q207,Bush Jr.,269
20,Q207,"Bush, George W.",269
21,Q207,Dubya,269
22,Q207,George Bush,269
23,Q207,George Walker Bush,269
24,Q207,GWB,269
25,Q207,President Bush,269
26,Q207,President George W. Bush,269
27,Q76,Honorable Barack Obama,325
28,Q76,Barack obama,325
29,Q91,Lincoln,274
30,Q91,Honest Abe,274
31,Q91,A. Lincoln,274
32,Q91,Abe Lincoln,274
33,Q91,President Lincoln,274
34,Q91,Uncle Abe,274
35,Q157,François Gérard Georges Nicolas Hollande,218
36,Q157,Francois Hollande,218
37,Q157,Hollande,218
38,Q306,Miguel Juan Sebastián Piñera Echenique,86
39,Q306,Sebastián Piñera Echenique,86
40,Q320,Veronica Michelle Bachelet Jeria,113
41,Q320,Verónica Michelle Bachelet Jeria,113
42,Q326,Eduardo Alfredo Juan Bernardo Frei Ruiz-Tagle,39
43,Q329,Nicolas Paul Stéphane Sarközy de Nagy-Bocsa,188
44,Q329,Nicolas Sarközy,188
45,Q329,Sarko,188
46,Q1394,V. I. Lenin,275
47,Q1394,V. I. Ul'yanov,275
48,Q1394,V. I. Ulyanov,275
49,Q1394,Vladimir Il'ich Lenin,275
50,Q1394,Vladimir Il'ich Ul'yanov,275
51,Q1394,Vladimir Ilyich Ulyanov,275
52,Q1394,Vladimir Ul'yanov,275
53,Q1394,Vladimir Ulyanov,275
54,Q335,Patricio Aylwin Azocar,41
55,Q335,Patricio Aylwin Azócar,41
56,Q352,Der Führer,299
57,Q352,Hitler,299
58,Q352,Führer,299
59,Q368,Augusto José Ramón Pinochet Ugarte,118
60,Q440,Allende,119
61,Q440,Chicho,119
62,Q440,Salvador Guillermo Allende Gossens,119
63,Q444,Wałęsa,167
64,Q444,Lech Walesa,167
65,Q1058,Modi,162
66,Q1058,Modi Ji,162
67,Q1058,Modiji,162
68,Q1058,NaMo,162
69,Q1058,Narendra Bhai,162
70,Q1058,Narendra Damodardas Modi,162
71,Q1058,Narendrabhai,162
72,Q1058,Narendrabhai Damodardas Modi,162
73,Q5816,Chairman Mao,210
74,Q5816,Jeon-zi,210
75,Q5816,Jun-chih,210
76,Q5816,Mao,210
77,Q5816,Mao Tse-tung,210
78,Q5816,Mao Ze Dong,210
79,Q5816,Máo Zédōng,210
80,Q5816,Máo Zhǔxí,210
81,Q5816,Mao² Tsê²-tung¹,210
82,Q5816,Maozedong,210
83,Q5816,Mau Tzerdong,210
84,Q5816,Mau Zeh-ton,210
85,Q5816,Máu Zéh-ton,210
86,Q5816,Mo Chhet-tung,210
87,Q5816,Mô Chhe̍t-tûng,210
88,Q5816,Mo Tek-tong,210
89,Q5816,Mô͘ Te̍k-tong,210
90,Q5816,Moo Tik-tang,210
91,Q5816,Môo Ti̍k-tang,210
92,Q5816,Mou Zaak-dung,210
93,Q5816,Rùnzhī,210
94,Q5816,Tse Toung Mao,210
95,Q5816,Mao Runzhi,210
96,Q5816,Chairman Mao Zedong,210
97,Q5816,Lun-chi,210
98,Q475,Eduardo Nicanor Frei Montalva,42
99,Q8023,Nelson Rolihlahla Mandela,273
100,Q8023,Prisoner 46664,273
101,Q352,Bohemian Corporal,299
102,Q368,Augusto Pinochet Ugarte,118
103,Q7416,Margaret Roberts,195
104,Q7416,Baroness Margaret Thatcher,195
105,Q7416,Baroness Thatcher,195
106,Q7416,Baroness Thatcher of Kesteven,195
107,Q7416,Lady Thatcher,195
108,Q7416,Maggie Thatcher,195
109,Q7416,Margaret Hilda Roberts,195
110,Q7416,Margaret Hilda Thatcher,195
111,Q7416,Mrs. T,195
112,Q7416,Mrs. Thatcher,195
113,Q567,Angela Dorothea Kasner,210
114,Q567,Angela Dorothea Merkel,210
115,Q567,Angela Kasner,210
116,Q9588,Nixon,177
117,Q9588,Nixon,177
118,Q9588,Nixon,177
119,Q9588,Nixon,177
120,Q9588,President Nixon,177
121,Q9588,President Nixon,177
122,Q9588,President Nixon,177
123,Q9588,President Nixon,177
124,Q9588,R. M. Nixon,177
125,Q9588,R. M. Nixon,177
126,Q9588,R. M. Nixon,177
127,Q9588,R. M. Nixon,177
128,Q9588,R. Nixon,177
129,Q9588,R. Nixon,177
130,Q9588,R. Nixon,177
131,Q9588,R. Nixon,177
132,Q9588,Richard M. Nixon,177
133,Q9588,Richard M. Nixon,177
134,Q9588,Richard M. Nixon,177
135,Q9588,Richard M. Nixon,177
136,Q9588,Richard Milhous Nixon,177
137,Q9588,Richard Milhous Nixon,177
138,Q9588,Richard Milhous Nixon,177
139,Q9588,Richard Milhous Nixon,177
140,Q9588,Tricky Dick,177
141,Q9588,Tricky Dick,177
142,Q9588,Tricky Dick,177
143,Q9588,Tricky Dick,177
144,Q9640,LBJ,168
145,Q9640,LBJ,168
146,Q9640,LBJ,168
147,Q9640,LBJ,168
148,Q2124,VGE,114
149,Q2124,Giscard,114
150,Q2124,Valéry René Marie Georges Giscard d'Estaing,114
151,Q2185,Georges Jean Raymond Pompidou,138
152,Q1124,Clinton,208
153,Q1124,WJC,208
154,Q1124,William Clinton,208
155,Q1124,President Bill Clinton,208
156,Q1124,President Clinton,208
157,Q1124,William J. Clinton,208
158,Q1124,"William Jefferson ""Bill"" Clinton",208
159,Q1124,William Jefferson Blythe,208
160,Q1124,William Jefferson Blythe III,208
161,Q1124,William Jefferson Clinton,208
162,Q1253,HE Ban Ki Moon,149
163,Q1257,Ghali,88
