,WikidataID,itemLabel,en_description,instanceof
0,Q2655258,Vincent Mathews,American politician,human
1,Q2166336,Rorer A. James,American politician,human
2,Q887338,John Chafee,United States Senator,human
3,Q6246910,John Marshall Rose,American politician (1856-1923),human
4,Q2418643,Theodore G. Croft,American politician (1874-1920),human
5,Q57336,Ali Khamenei,Supreme Leader of Iran since 1989,human
6,Q16335711,Efraín Schacht Aristeguieta,,human
7,Q1558125,Richard Ottinger,American politician,human
8,Q500370,José Eugenio Ellauri,Uruguayan politician (1834-1894),human
9,Q298016,Fred Thompson,American politician and actor (1942–2015),human
10,Q5167783,Cooper K. Watson,American politician and judge (1810-1880),human
11,Q56062290,Mohamed Moktar Ould Zamil,,human
12,Q56062327,Mohamed Sidina Ould Sidiya,,human
13,Q375788,David Holmes,American politician (1769-1832),human
14,Q350248,Vasil Kolarov,Bulgarian politician (1877-1950),human
15,Q57321,Laura Chinchilla,46th President of Costa Rica,human
16,Q1677049,Jack H. McDonald,American politician,human
17,Q56062973,Mohamed El Hacen Ould Lebatt,,human
18,Q56062797,Sow Abou Demba,,human
19,Q1668822,Mohsen Rais,Iranian diplomat,human
20,Q467701,Laureano Gómez,President of Colombia (1889-1965),human
21,Q57279,Traian Băsescu,4th President of Romania from 2004 to 2014,human
22,Q57342,Mauricio Funes,nicaragüense politician and President of El Salvador from 2009 to 2014,human
23,Q57274,Yoweri Museveni,President of Uganda since 1986,human
24,Q733875,Elias Sarkis,Sixth President of Lebanon (1924-1985),human
25,Q685293,Péter Szijjártó,"Hungarian politician, member of the National Assembly of Hungary since 2002",human
26,Q142080,Ignacio Andrade,President of Venezuela (1839-1925),human
27,Q1700354,John Hamlin Folger,American politician (1880-1963),human
28,Q57429,Danilo Medina,former president of the Dominican Republic,human
29,Q958829,William R. Eaton,"American politician, Colorado (1877-1942)",human
30,Q3489137,Bohuslav Chňoupek,"Czechoslovak member of Czechoslovak parliament, publicist, politic writer, ambassador, minister of foreign affairs and slovak nation politician",human
31,Q176134,Jacob Read,American politician (1752-1816),human
32,Q1423479,Salvador P. Lopez,Filipino politician,human
33,Q918506,John Mica,American politician,human
34,Q57416,Joseph Kabila,President of the Democratic Republic of the Congo from 2001 up to 2018,human
35,Q57412,Lothar de Maizière,German politician,human
36,Q1065880,Charles Ready,American politician (1802-1878),human
37,Q1452264,Fred Dubois,American politician (1851-1930),human
38,Q57424,Manuel Serifo Nhamadjo,Guinea-Bissauan politician (1958-2020),human
39,Q437199,Ginny Brown-Waite,American politician,human
40,Q2444338,Mirko Šarović,politician from Bosnia and Herzegovina,human
41,Q57469,Hifikepunye Pohamba,Namibian politician,human
42,Q661825,Christian Pineau,French Politician & Diplomat,human
43,Q5487462,Frank J. LeFevre,U.S. Representative from New York (1874-1941),human
44,Q1627671,Hopkins L. Turney,American politician (1797-1857),human
45,Q5086164,Charlotte Thompson Reid,American politician,human
46,Q463854,Elmira Gafarova,Soviet politician (1934-1993),human
47,Q2161643,Roger C. Slaughter,American politician,human
48,Q8276206,Shen Chang-huan,Chinese politician,human
49,Q731215,William Findlay,American politician (1768-1846),human
50,Q57421,Tsakhiagiin Elbegdorj,Mongolian politician,human
51,Q7608520,Stephen A. Day,American politician (1882-1950),human
52,Q1300,Germán Riesco,Chilean politician and President (1854-1916),human
53,Q8271208,Chiang Yen-shih,Republic of China politician,human
54,Q57640,Andrus Ansip,Estonian chemist and politician,human
55,Q467891,Ray LaHood,16th United States Secretary of Transportation,human
56,Q57534,Mohammed Magariaf,Libyan politician,human
57,Q13219120,Meyer Jacobstein,American politician (1880-1963),human
58,Q598524,Ezra Wheeler,American politician and judge (1820-1871),human
59,Q5669371,Harry H. Pratt,American politician (1864-1932),human
60,Q467948,Jonas Gahr Støre,36th Prime Minister of Norway,human
61,Q463916,Hasan Prishtina,Albanian politician (1873-1933),human
62,Q57539,Otto Pérez Molina,President of Guatemala (2012-2015),human
63,Q552389,Spiros Kyprianou,2nd President of the Republic of Cyprus (1977-1988),human
64,Q58171,Khalid bin Ahmed Al Khalifa,Bahraini politician,human
65,Q1657292,Ignacio Walker,Chilean politician,human
66,Q7815151,Tom Butime,Ugandan politician,human
67,Q1699126,John All Barham,American politician (1843-1926),human
68,Q969261,Carl Enckell,Finnish politician (1876–1959),human
69,Q5559289,Gibson Atherton,judge,human
70,Q57620,Lawrence Gonzi,Maltese politician,human
71,Q58312,Ruslan Kazakbayev,Kyrgyzstani politician,human
72,Q464038,Clyde H. Smith,American politician (1876-1940),human
73,Q1061786,Chandra Shumsher Jung Bahadur Rana,Prime Minister of Nepal,human
74,Q5730065,Henry White Beeson,American politician,human
75,Q202495,Allyson Schwartz,American politician,human
76,Q6118251,Jacob A. Ambler,American politician (1829-1906),human
77,Q459265,Ambrose Kennedy,American politician (1875-1967),human
78,Q1627859,Horace F. Page,American politician (1833-1890),human
79,Q1700826,J. L. Pilcher,American politician (1898-1981),human
80,Q57625,Sali Berisha,Albanian politician (born 1944),human
81,Q2419098,Theophilus Bradbury,American politician and judge 1739-1803,human
82,Q57709,Freundel Stuart,Prime Minister of Barbados,human
83,Q1903322,Martin Alonzo Haynes,American politician (1842-1919),human
84,Q2545025,Walter Kehoe,American politician,human
85,Q1699209,John B. Long,American politician (1843-1924),human
86,Q3391007,Wilkie Rasmussen,Cook Islands politician,human
87,Q57806,Antonis Samaras,Greek politician,human
88,Q142356,Wharton J. Green,Confederate Army officer (1831-1910),human
89,Q57712,Kamla Persad-Bissessar,politician from Trinidad and Tobago,human
90,Q464301,Chuan Leekpai,Thai politician,human
91,Q5294580,Donald J. Mitchell,American politician (1923-2003),human
92,Q57816,Baburam Bhattarai,Nepalese politician,human
93,Q954486,María Ángela Holguín,diplomat,human
94,Q5730148,Henry Wilbur Bentley,American politician,human
95,Q380504,Aedanus Burke,"Irish-born American soldier, judge, and congressman (1743–1802)",human
96,Q459503,Domingo Siazon,Filipino diplomat (1939-2016),human
97,Q434947,Suzanne Kosmas,American politician,human
98,Q1821813,Leverett Saltonstall I,American politician 1783-1845,human
99,Q285428,Clyde L. Garrett,American politician (1885-1959),human
100,Q156799,Felipe González,Prime Minister of Spain from 1982 to 1996,human
101,Q3816312,Theodore A. Peyser,American politician (1873-1937),human
102,Q1821849,Levi Casey,American politician (1752-1807),human
103,Q6229375,John Dickey,American politician,human
104,Q561547,Augustus F. Hawkins,American politician (1907-2007),human
105,Q951969,Manuel Esquivel,Belizean politician (1940–2022),human
106,Q1821858,Levi T. Griffin,Union Army officer (1837-1906),human
107,Q612451,Aaron Ward,American politician (1790-1867),human
108,Q530386,Max Cleland,American politician,human
109,Q1240824,James Butler Hare,US Congressman from 3rd district 1949-1951,human
110,Q529775,Martha Griffiths,American politician (1912-2003),human
111,Q289317,Barbara Lee,American politician,human
112,Q1606032,Henri Simonet,Belgian politician (1931-1996),human
113,Q7787533,Thomas Beekman,American politician (1790-1870),human
114,Q977920,Thaddeus McCotter,American politician,human
115,Q5075305,Charles B. Hoard,American politician,human
116,Q7298226,Ray V. Pierce,American politician,human
117,Q240188,Joseph Roswell Hawley,"Union Army general, politician (1826-1905)",human
118,Q16597,Jiang Zemin,General Secretary of the Chinese Communist Party from 1989 to 2002,human
119,Q5535916,George A. Anderson,American politician,human
120,Q57880,Sialeʻataongo Tuʻivakanō,Prime Minister of Tonga,human
121,Q5535935,George A. Castor,American politician,human
122,Q512537,Walter B. Jones,American politician (1943-2019),human
123,Q1659524,Daniel D. Barnard,American politician and diplomat,human
124,Q76658,Frank-Walter Steinmeier,president of Germany,human
125,Q1699496,John C. Lehr,American politician (1878-1958),human
126,Q6145741,James Wolcott Wadsworth Jr.,U.S. Republican politician from New York (1877-1952),human
127,Q123902,Ruth Dreifuss,member of the Swiss Federal Council,human
128,Q939825,Gordon Darcy Lilo,Prime Minister of Solomon Islands,human
129,Q240274,Christian Herter,American politician (1895-1966),human
130,Q459752,Hugo Black,U.S. Supreme Court justice (1886-1971),human
131,Q217683,Paul Bremer,American diplomat,human
132,Q2843337,Amílcar Spencer Lopes,"Cape Verdean politician, lawyer and diplomat",human
133,Q8010514,"William H. Milliken, Jr.",American politician,human
134,Q58147,Aurelia Frick,Liechtensteiner politician,human
135,Q1699568,John Caskie,American politician (1821-1869),human
136,Q1822088,Lewis D. Campbell,American politician (1811-1882),human
137,Q304550,Simeon D. Fess,(1861-1936) Republican politician and educator from Ohio,human
138,Q1822096,Lewis F. Linn,Jacksonian Democratic U.S. Senator for the state of Missouri born in Kentucky (1796-1843),human
139,Q1903714,Martin F. Conway,American politician (1829-1882),human
140,Q58079,Karl Erjavec,Slovenian lawyer and politician,human
141,Q476553,James Robert Mann,"American soldier, lawyer and politician (1920-2010)",human
142,Q123979,Ueli Maurer,member of the Swiss Federal Council,human
143,Q365169,Félix Malloum,Chadian politician (1932-2009),human
144,Q1822150,Lewis R. Morris,American politician (1760-1825),human
145,Q1681311,James Wilson,American politician from New Hampshire (1766-1839),human
146,Q6252287,John Paul Verree,American politician,human
147,Q156487,Péter Medgyessy,Hungarian politician,human
148,Q251598,Eugene F. Kinkead,American politician (1876-1960),human
149,Q58177,Fawzi Salloukh,Lebanese politician,human
150,Q2915333,Nabil Shaath,Palestinian politician,human
151,Q203426,Arsène Pujo,American politician,human
152,Q58091,Stavros Dimas,Greek politician,human
153,Q365312,Algernon Paddock,American politician (1830-1897),human
154,Q438010,Bob Riley,American politician,human
155,Q58149,Lygia Kraag-Keteldijk,Surinamese politician,human
156,Q1701364,John Paul Hammerschmidt,American politician (1922-2015),human
157,Q1095525,Clarence W. Turner,American politician (1866-1939),human
158,Q58224,Elvin Nimrod,Grenadian politician,human
159,Q7637646,Summers Melville Jack,American politician,human
160,Q718718,William Wilkins,United States federal judge (1779-1865),human
161,Q8010669,William H. Wheat,American politician,human
162,Q1699729,John D. McCrate,American politician (1802-1879),human
163,Q58156,Saud bin Faisal bin Abdulaziz Al Saud,Saudi royal and foreign minister (1940–2015),human
164,Q370110,Keith Mitchell,Grenadian politician,human
165,Q1934641,Miles Crowley,American politician (1859-1921),human
166,Q58169,Sam Abal,Papua New Guinean politician,human
167,Q189678,Zeno Scudder,American politician (1807-1857),human
168,Q561837,Mauricio Macri,president of Argentina from 2015 to 2019,human
169,Q1571504,Samuel Griffin,American politician (1746-1810),human
170,Q734713,James B. McCreary,Governor of Kentucky (1838–1918),human
171,Q58227,Mohlabi Tsekoa,Mosotho diplomat and politician,human
172,Q58242,Lorin S. Robert,politician,human
173,Q5623181,Guðmundur Ívarsson Guðmundsson,Icelandic politician (1909-1987),human
174,Q58231,Peter David,Grenadian politician,human
175,Q2597786,Goodloe Byron,"American politician from Maryland, US (1929–1978)",human
176,Q285865,Joseph Paul-Boncour,French politician (1873-1972),human
177,Q58320,Elyor Ganiyev,Uzbekistani politician,human
178,Q6319804,János Péter,"Hungarian Calvinist bishop, politician (1910–1999)",human
179,Q365466,Adolph Meyer,American politician (1842-1908),human
180,Q1873254,Lucian W. Parrish,American politician (1878-1922),human
181,Q6274238,Jonathan Richmond,American politician,human
182,Q1964936,Napoleon Bonaparte Giddings,American politician (1816-1897),human
183,Q58290,Marty Natalegawa,Indonesian ambassador,human
184,Q1680690,James La Fayette Evans,American politician (1825-1903),human
185,Q1547512,Richard Ray,American politician (1927-1999),human
186,Q1699834,John Dowdy,American politician (1912-1995),human
187,Q7507907,Sidney Elmer Simpson,American politician,human
188,Q1634437,Hugh Lawson White Hill,American politician (1810-1892),human
189,Q365314,Pedro Pablo Ramírez,22nd President of Argentina,human
190,Q381002,Francisco Flores Pérez,President of El Salvador (1959-2016),human
191,Q2545679,Walter O. Hoffecker,American politician,human
192,Q335533,Adolfo López Mateos,55th President of Mexico,human
193,Q313531,Juan María Bordaberry,"Politician, rancher (1928-2011)",human
194,Q58267,Yusuf bin Alawi bin Abdullah,politician,human
195,Q13219860,James Wolfenden,American politician (1889-1949),human
196,Q365359,Mario Echandi Jiménez,President of Costa Rica (1915-2011),human
197,Q355874,Petru Lucinschi,Moldovan politician,human
198,Q16106233,Luis Alfonso Dávila,Venezuelan politician and diplomat,human
199,Q177159,Charles A. Kading,American politician (1874-1956),human
200,Q167937,Ċensu Tabone,President of Malta (1913-2012),human
201,Q460912,Dimitrios Ioannidis,Greek soldier and dictator (1923-2010),human
202,Q74972,James Guyon,American politician from New York (1778-1846),human
203,Q1156093,William Nelson,American lawyer and judge (1784–1869),human
204,Q2161618,Charles W. Jones,American politician,human
205,Q1203664,Thomas Sprigg,American politician (1747-1809),human
206,Q283884,Paul Tsongas,American politician (1941-1997),human
207,Q436331,Rodman McCamley Price,Governor of New Jersey (1816-1894),human
208,Q238626,"Horatio Bisbee, Jr.","American politician, Florida (1839-1916)",human
209,Q528991,Brad Ellsworth,American politician,human
210,Q289350,Ngozi Okonjo-Iweala,Nigerian economist,human
211,Q376857,Herbert S. Walters,American politician (1891-1973),human
212,Q2045569,Richard Lankford,American politician,human
213,Q748552,Ashour Bin Khayal,Libyan politician,human
214,Q16199304,Andy Biggs,American politician (born 1958),human
215,Q2150495,Richard S. Ayer,U.S. Representative from Virginia,human
216,Q4364872,Václav Pleskot,Czech politician and sports official,human
217,Q1706881,Joseph E. Edsall,American politician (1789-1865),human
218,Q2353205,Pedro Varela,President of Uruguay,human
219,Q817405,Benjamin Bennet,Member of the United States House of Representatives from New Jersey (1764-1840),human
220,Q1687867,Jerry Simpson,American politician (1842-1905),human
221,Q1385418,Russell B. Long,American politician,human
222,Q4888846,Benjamin I. Taylor,American politician,human
223,Q1554136,Guinn Williams,American politician (1871-1948),human
224,Q4888864,Benjamin J. Rabin,American politician,human
