"","item","itemLabel","bioid"
"1","http://www.wikidata.org/entity/Q91","Abraham Lincoln","L000313"
"2","http://www.wikidata.org/entity/Q2767","Daniel Morgan","M000946"
"3","http://www.wikidata.org/entity/Q3034","Willoughby Newton","N000080"
"4","http://www.wikidata.org/entity/Q3205","William Terry","T000136"
"5","http://www.wikidata.org/entity/Q3239","James K. Gibson","G000162"
"6","http://www.wikidata.org/entity/Q3251","Elisha E. Meredith","M000647"
"7","http://www.wikidata.org/entity/Q3253","Henry P. Alexander","A000093"
"8","http://www.wikidata.org/entity/Q3271","Todd Russell Platts","P000585"
"9","http://www.wikidata.org/entity/Q8612","Andrew Johnson","J000116"
"10","http://www.wikidata.org/entity/Q9582","Gerald Ford","F000260"
"11","http://www.wikidata.org/entity/Q9588","Richard Nixon","N000116"
"12","http://www.wikidata.org/entity/Q9640","Lyndon B. Johnson","J000160"
"13","http://www.wikidata.org/entity/Q9696","John F. Kennedy","K000107"
"14","http://www.wikidata.org/entity/Q10390","John McCain","M000303"
"15","http://www.wikidata.org/entity/Q11595","John Adair","A000026"
"16","http://www.wikidata.org/entity/Q11669","Mark Sanford","S000051"
"17","http://www.wikidata.org/entity/Q11672","Carroll A. Campbell, Jr.","C000079"
"18","http://www.wikidata.org/entity/Q11702","John Boehner","B000589"
"19","http://www.wikidata.org/entity/Q11816","John Quincy Adams","A000041"
"20","http://www.wikidata.org/entity/Q11817","Andrew Jackson","J000005"
"21","http://www.wikidata.org/entity/Q11881","John Tyler","T000450"
"22","http://www.wikidata.org/entity/Q11891","James K. Polk","P000409"
"23","http://www.wikidata.org/entity/Q12306","Millard Fillmore","F000115"
"24","http://www.wikidata.org/entity/Q12312","Franklin Pierce","P000333"
"25","http://www.wikidata.org/entity/Q12325","James Buchanan","B001005"
"26","http://www.wikidata.org/entity/Q15257","Ron Paul","P000583"
"27","http://www.wikidata.org/entity/Q15466","William Thomas Hamilton","H000118"
"28","http://www.wikidata.org/entity/Q16476","Mazie Hirono","H001042"
"29","http://www.wikidata.org/entity/Q19673","Al Gore","G000321"
"30","http://www.wikidata.org/entity/Q22201","Jim DeMint","D000595"
"31","http://www.wikidata.org/entity/Q22212","Lindsey Graham","G000359"
"32","http://www.wikidata.org/entity/Q22222","Kirsten Gillibrand","G000555"
"33","http://www.wikidata.org/entity/Q22250","Maria Cantwell","C000127"
"34","http://www.wikidata.org/entity/Q22290","Olympia Snowe","S000663"
"35","http://www.wikidata.org/entity/Q23505","George H. W. Bush","B001166"
"36","http://www.wikidata.org/entity/Q23944","Mark Amodei","A000369"
"37","http://www.wikidata.org/entity/Q23949","Ezra Dean","D000171"
"38","http://www.wikidata.org/entity/Q24043","Alan Nunnelee","N000186"
"39","http://www.wikidata.org/entity/Q24217","Addison S. McClure","M000344"
"40","http://www.wikidata.org/entity/Q24230","Steven Palazzo","P000601"
"41","http://www.wikidata.org/entity/Q24243","Joe Heck","H001055"
"42","http://www.wikidata.org/entity/Q24250","Frank Guinta","G000570"
"43","http://www.wikidata.org/entity/Q24313","Mike Pence","P000587"
"44","http://www.wikidata.org/entity/Q24389","Edward Douglass White","W000365"
"45","http://www.wikidata.org/entity/Q25483","Todd Young","Y000064"
"46","http://www.wikidata.org/entity/Q25568","Lou Barletta","B001269"
"47","http://www.wikidata.org/entity/Q31375","Joseph D. Early","E000013"
"48","http://www.wikidata.org/entity/Q32606","Nan Hayworth","H001054"
"49","http://www.wikidata.org/entity/Q32620","Tulsi Gabbard","G000571"
"50","http://www.wikidata.org/entity/Q32715","Bob Turner","T000471"
"51","http://www.wikidata.org/entity/Q32718","Richard L. Hanna","H001051"
"52","http://www.wikidata.org/entity/Q32722","Chris Gibson","G000564"
"53","http://www.wikidata.org/entity/Q32726","Michael Grimm","G000569"
"54","http://www.wikidata.org/entity/Q34597","James A. Garfield","G000063"
"55","http://www.wikidata.org/entity/Q35041","William McKinley","M000522"
"56","http://www.wikidata.org/entity/Q35686","Rutherford B. Hayes","H000393"
"57","http://www.wikidata.org/entity/Q39387","Newton Cannon","C000123"
"58","http://www.wikidata.org/entity/Q39593","Butch Otter","O000166"
"59","http://www.wikidata.org/entity/Q40589","Keith Ellison","E000288"
"60","http://www.wikidata.org/entity/Q40628","Tammy Baldwin","B001230"
"61","http://www.wikidata.org/entity/Q45380","John Lewis","L000287"
"62","http://www.wikidata.org/entity/Q45940","James Lankford","L000575"
"63","http://www.wikidata.org/entity/Q45946","Suzanne Bonamici","B001278"
"64","http://www.wikidata.org/entity/Q45951","Mike Fitzpatrick","F000451"
"65","http://www.wikidata.org/entity/Q45953","Ann Marie Buerkle","B001276"
"66","http://www.wikidata.org/entity/Q45956","Kathy Hochul","H001062"
"67","http://www.wikidata.org/entity/Q48259","Dick Cheney","C000344"
"68","http://www.wikidata.org/entity/Q49214","Dan Quayle","Q000007"
"69","http://www.wikidata.org/entity/Q50104","Debbie Wasserman Schultz","W000797"
"70","http://www.wikidata.org/entity/Q50608","Trent Lott","L000447"
"71","http://www.wikidata.org/entity/Q50610","Hilda Solis","S001153"
"72","http://www.wikidata.org/entity/Q51753","Elias Boudinot","B000661"
"73","http://www.wikidata.org/entity/Q52627","Bob Mathias","M000242"
"74","http://www.wikidata.org/entity/Q59335","Guy Victor Molinari","M000842"
"75","http://www.wikidata.org/entity/Q59445","John G. Utterback","U000037"
"76","http://www.wikidata.org/entity/Q64317","Henry Crocheron","C000914"
"77","http://www.wikidata.org/entity/Q64322","John Lefferts","L000213"
"78","http://www.wikidata.org/entity/Q64449","John J. Roane","R000292"
"79","http://www.wikidata.org/entity/Q64458","Augustus A. Chapman","C000308"
"80","http://www.wikidata.org/entity/Q64468","Tredwell Scudder","S000203"
"81","http://www.wikidata.org/entity/Q64485","John J. Wood","W000697"
"82","http://www.wikidata.org/entity/Q64782","John Clopton","C000531"
"83","http://www.wikidata.org/entity/Q64788","Harold C. Ostertag","O000121"
"84","http://www.wikidata.org/entity/Q64790","Henry A. Edmundson","E000058"
"85","http://www.wikidata.org/entity/Q64798","Edward Lucas","L000490"
"86","http://www.wikidata.org/entity/Q64801","George Townsend","T000333"
"87","http://www.wikidata.org/entity/Q64806","Jacob Crocheron","C000915"
"88","http://www.wikidata.org/entity/Q69319","John Kasich","K000016"
"89","http://www.wikidata.org/entity/Q71766","Steven Schiff","S000125"
"90","http://www.wikidata.org/entity/Q71863","John S. Tanner","T000038"
"91","http://www.wikidata.org/entity/Q72498","Rick Lazio","L000155"
"92","http://www.wikidata.org/entity/Q74337","Thomas Monteagle Bayly","B000260"
"93","http://www.wikidata.org/entity/Q74349","Abel Huntington","H000994"
