"","item","itemLabel","bioid"
"1","http://www.wikidata.org/entity/Q187516","Zell Miller","M001141"
"2","http://www.wikidata.org/entity/Q187983","Andrew Frank Schoeppel","S000138"
"3","http://www.wikidata.org/entity/Q189197","Joseph McCarthy","M000315"
"4","http://www.wikidata.org/entity/Q193009","Frank B. Kellogg","K000065"
"5","http://www.wikidata.org/entity/Q200884","John Renshaw Thomson","T000231"
"6","http://www.wikidata.org/entity/Q201751","Ralph Edward Flanders","F000190"
"7","http://www.wikidata.org/entity/Q202950","John Henry","H000508"
"8","http://www.wikidata.org/entity/Q202979","Cordell Hull","H000940"
"9","http://www.wikidata.org/entity/Q203167","James H. Brady","B000753"
"10","http://www.wikidata.org/entity/Q204124","Frank R. Gooding","G000288"
"11","http://www.wikidata.org/entity/Q207191","John C. Calhoun","C000044"
"12","http://www.wikidata.org/entity/Q209989","Hubert Humphrey","H000953"
"13","http://www.wikidata.org/entity/Q213721","Robert Ferdinand Wagner","W000021"
"14","http://www.wikidata.org/entity/Q216174","Rudy Boschwitz","B000647"
"15","http://www.wikidata.org/entity/Q216547","Sam Houston","H000827"
"16","http://www.wikidata.org/entity/Q217314","John Edwards","E000286"
"17","http://www.wikidata.org/entity/Q218623","Samuel L. Mitchill","M000831"
"18","http://www.wikidata.org/entity/Q220619","Elihu Root","R000430"
"19","http://www.wikidata.org/entity/Q222935","Herbert E. Hitchcock","H000646"
"20","http://www.wikidata.org/entity/Q223677","John Foster Dulles","D000522"
"21","http://www.wikidata.org/entity/Q230733","Dianne Feinstein","F000062"
"22","http://www.wikidata.org/entity/Q237220","Hiram Bingham III","B000470"
"23","http://www.wikidata.org/entity/Q237560","Barbara Boxer","B000711"
"24","http://www.wikidata.org/entity/Q237681","Blanche Lincoln","L000035"
"25","http://www.wikidata.org/entity/Q239571","Elizabeth Dole","D000601"
"26","http://www.wikidata.org/entity/Q239928","Kay Bailey Hutchison","H001016"
"27","http://www.wikidata.org/entity/Q240188","Joseph Roswell Hawley","H000377"
"28","http://www.wikidata.org/entity/Q241092","Debbie Stabenow","S000770"
"29","http://www.wikidata.org/entity/Q242061","Henry Heitfeld","H000458"
"30","http://www.wikidata.org/entity/Q249041","George Gray","G000396"
"31","http://www.wikidata.org/entity/Q251763","Dean Heller","H001041"
"32","http://www.wikidata.org/entity/Q252449","Theodore E. Burton","B001159"
"33","http://www.wikidata.org/entity/Q252776","Jeremiah Clemens","C000501"
"34","http://www.wikidata.org/entity/Q252856","George B. Martin","M000181"
"35","http://www.wikidata.org/entity/Q256631","Armistead Thomson Mason","M000213"
"36","http://www.wikidata.org/entity/Q256945","John Albert Carroll","C000189"
"37","http://www.wikidata.org/entity/Q258629","Samuel Pasco","P000095"
"38","http://www.wikidata.org/entity/Q258825","Patty Murray","M001111"
"39","http://www.wikidata.org/entity/Q260534","David Turpie","T000432"
"40","http://www.wikidata.org/entity/Q261003","Kay Hagan","H001049"
"41","http://www.wikidata.org/entity/Q261147","Barbara Mikulski","M000702"
"42","http://www.wikidata.org/entity/Q262319","Alfred H. Colquitt","C000647"
"43","http://www.wikidata.org/entity/Q265668","Edward Zorinsky","Z000013"
"44","http://www.wikidata.org/entity/Q266798","John Norvell","N000158"
"45","http://www.wikidata.org/entity/Q269495","Francis Locke","L000387"
"46","http://www.wikidata.org/entity/Q269745","Jonathan Roberts","R000313"
"47","http://www.wikidata.org/entity/Q270316","Jeanne Shaheen","S001181"
"48","http://www.wikidata.org/entity/Q270539","Charles W. Fairbanks","F000003"
"49","http://www.wikidata.org/entity/Q271023","Charles Curtis","C001008"
"50","http://www.wikidata.org/entity/Q271243","Rebecca Latimer Felton","F000069"
"51","http://www.wikidata.org/entity/Q273212","John C. Breckinridge","B000789"
"52","http://www.wikidata.org/entity/Q273546","Hannibal Hamlin","H000121"
"53","http://www.wikidata.org/entity/Q273549","Alben W. Barkley","B000145"
"54","http://www.wikidata.org/entity/Q273898","Maryon Pittman Allen","A000139"
"55","http://www.wikidata.org/entity/Q273900","Dixie Bibb Graves","G000391"
"56","http://www.wikidata.org/entity/Q273905","Elaine Schwartzenburg Edwards","E000068"
"57","http://www.wikidata.org/entity/Q274513","Vera Cahalan Bushfield","B001169"
"58","http://www.wikidata.org/entity/Q275226","Milton Latham","L000110"
"59","http://www.wikidata.org/entity/Q276524","Robert Byrd","B001210"
"60","http://www.wikidata.org/entity/Q276604","William B. Bate","B000227"
"61","http://www.wikidata.org/entity/Q276753","Newton C. Blanchard","B000541"
"62","http://www.wikidata.org/entity/Q277673","John B. Weller","W000274"
"63","http://www.wikidata.org/entity/Q278701","A. Harry Moore","M000893"
"64","http://www.wikidata.org/entity/Q279157","Almer Stillwell Monroney","M000859"
"65","http://www.wikidata.org/entity/Q279193","A. Victor Donahey","D000410"
"66","http://www.wikidata.org/entity/Q279900","Thomas R. Bard","B000138"
"67","http://www.wikidata.org/entity/Q280639","Nathan F. Dixon III","D000377"
"68","http://www.wikidata.org/entity/Q282091","James P. Pope","P000430"
"69","http://www.wikidata.org/entity/Q282358","Clement Storer","S000972"
"70","http://www.wikidata.org/entity/Q283798","William A. Palmer","P000045"
